"Date","Manufacturing employment index","Trend"
"2023-01",101.975907993689,102.221441072174
"2023-02",101.890646715014,102.141689170622
"2023-03",101.860071986868,102.069655195026
"2023-04",101.820535800949,101.989903293474
"2023-05",101.700845049265,101.912724033908
"2023-06",101.78553588737,101.832972132355
"2023-07",101.71065428921,101.755792872789
"2023-08",101.75453442914,101.676040971236
"2023-09",101.802333195414,101.596289069684
"2023-10",101.403830662819,101.519109810117
"2023-11",101.648564918326,101.439357908565
"2023-12",101.744655325218,101.362178648999
"2024-01",101.718206633141,101.282426747446
"2024-02",101.524599455771,101.202674845894
"2024-03",101.356168963816,101.128068228313
"2024-04",101.349715168125,101.048316326761
"2024-05",101.268780101682,100.971137067194
"2024-06",101.101929354924,100.891385165642
"2024-07",101.019454185154,100.814205906075
"2024-08",100.646656309727,100.734454004523
"2024-09",100.539173355552,100.654702102971
"2024-10",99.9313285803689,100.577522843404
"2024-11",100.186281679762,100.497770941852
"2024-12",100,100.420591682285
"2025-01",99.8146492880884,100.340839780733
"2025-02",99.8179046115021,100.26108787918
"2025-03",99.7644666402592,100.189053903585
"2025-04",99.7362896741851,100.109302002033
"2025-05",99.629339633489,100.032122742466
"2025-06",99.5199744471928,99.9523708409137
"2025-07",99.4339691892635,99.875191581347
"2025-08",99.3082596052685,99.7954396797947
"2025-09",99.2938469319734,99.7156877782425
"2025-10",99.2278590387136,99.6385085186758
"2025-11",99.1712739693549,99.5587566171235
"2025-12",99.0906911856667,99.4815773575569
"2026-01",99.1451576482527,99.4018254560046
"2026-02",99.0825044206099,99.3220735544524

# Figure 10. Manufacturing Tariff-Exposed Employment Index
# Leontief-adjusted total import content weighting; index (Dec 2024 = 100)
# Source: BLS via Haver; USITC DataWeb; BEA I-O Tables (including Total Requirements); and The Budget Lab analysis
