"Date","Core goods index","Core goods trend","Core goods trend lower","Core goods trend upper","Durable goods index","Durable goods trend","Durable goods trend lower","Durable goods trend upper"
"2023-01",100.693736917178,,,,103.849235112349,,,
"2023-02",100.881759072301,,,,103.881661770877,,,
"2023-03",101.090158012708,,,,103.75863121352,,,
"2023-04",101.164255413741,,,,103.796780223553,,,
"2023-05",101.470833410518,,,,103.950329988937,,,
"2023-06",101.292073430524,,,,103.561210086598,,,
"2023-07",100.842857936758,,,,102.872620455499,,,
"2023-08",100.77061297075,,,,102.497806431923,,,
"2023-09",100.673360131893,,,,102.374775874566,,,
"2023-10",100.833595761629,,,,102.245069240453,,,
"2023-11",100.462182538947,,,,101.723381528249,,,
"2023-12",100.203767852843,,,,101.281806737115,,,
"2024-01",100.166719152326,,,,101.477320413535,,,
"2024-02",100.481633106719,,,,101.730057605005,,,
"2024-03",100.585369468166,,,,101.819707778583,,,
"2024-04",100.640942518941,,,,101.599397245641,,,
"2024-05",100.43439601356,,,,100.716247663373,,,
"2024-06",100.486264194283,,,,100.663792774577,,,
"2024-07",100.425133838431,,,,100.440621065883,,,
"2024-08",100.295463386622,,,,100.297562278259,,,
"2024-09",100.337143174703,,,,100.508335558692,,,
"2024-10",100.397347313043,,,,100.548392019227,,,
"2024-11",100.27601281885,,,,100.488307328425,,,
"2024-12",100,100,100,100,100,100,100,100
"2025-01",100.399199748069,99.8945465432201,99.8441388920621,99.9449796433561,100.308053256018,99.7193810702378,99.6231008921826,99.8157542977223
"2025-02",100.813218976344,99.8193083672988,99.7091371919727,99.9296012735736,100.715293938122,99.4667956612234,99.2563067672234,99.6777309306322
"2025-03",100.548320767649,99.7317176127303,99.5632622755079,99.9004579667348,100.665700225079,99.3735711963936,99.0550673065206,99.693099210833
"2025-04",100.83730063168,99.6310736550519,99.4084981765129,99.854147479754,101.157822454507,99.285434218805,98.8634652092863,99.7092042763106
"2025-05",101.086453142656,99.5309714809973,99.2539753572108,99.8087406403455,101.178804410026,99.2153461697891,98.6893104101648,99.7441858158653
"2025-06",101.484726673212,99.5111917549963,99.1761764496438,99.8473387359068,101.657574485942,99.1840462933051,98.5566516192854,99.8154348537904
"2025-07",101.483800455699,99.4624875450576,99.0620435832351,99.8645502435906,101.533590203334,99.0832382237696,98.349961886493,99.8219817130053
"2025-08",101.36987570161,99.3057211965983,98.837115232691,99.7765489124143,101.451569831763,98.8791048640335,98.0261177905643,99.7395143159862
"2025-09",101.548635681603,99.2603230866551,98.7163540026402,99.8072896716145,101.386716514706,98.7903033054856,97.7969302623365,99.7937665426745
"2025-10",101.545857029065,99.1384201485865,98.5101049526906,99.7707428519922,101.46015335902,98.6870196811311,97.5322820458793,99.8554288821281
"2025-11",101.52548024378,99.0624003371718,98.3544487771547,99.7754477054372,101.495441193301,98.6286875102559,97.3140239594427,99.9611115048522
"2025-12",101.966359779931,98.9902886615394,98.2079537288096,99.7788557569784,102.051463014535,98.5564041562984,97.0971188295393,100.037621273522
"2026-01",102.271085341682,98.8925770983237,98.0444249674549,99.7480663321164,102.472055850151,98.4233148423425,96.8347968003171,100.037891591085

# Figure 4. PCE Core Goods & Durables Prices
# Index (Dec 2024 = 100) versus local projection with 90% CIs
# Source: Bureau of Economic Analysis via Haver Analytics and The Budget Lab analysis 
