year,month,naics,description,customs_value,calculated_duties
2025,2,322,PAPER,2046505323,50439270
2025,2,323,"PRINTED MATTER AND RELATED PRODUCTS, NESOI",428229049,10244022
2025,2,324,PETROLEUM & COAL PRODUCTS,4567595368,21291709
2025,2,325,CHEMICALS,38710184845,330523792
2025,2,326,PLASTICS & RUBBER PRODUCTS,6102902777,315173387
2025,2,327,NONMETALLIC MINERAL PRODUCTS,2216156095,139311304
2025,2,331,PRIMARY METAL MFG,35570799344,210096886
2025,2,332,"FABRICATED METAL PRODUCTS, NESOI",7614421921,491380297
2025,2,333,"MACHINERY, EXCEPT ELECTRICAL",19092570446,590402861
2025,2,334,COMPUTER & ELECTRONIC PRODUCTS,49434757746,675918912
2025,2,335,"ELECTRICAL EQUIPMENT, APPLIANCES & COMPONENTS",15351028519,770696032
2025,2,336,TRANSPORTATION EQUIPMENT,36202626472,677299320
2025,2,337,FURNITURE & FIXTURES,3641960720,216457664
2025,2,339,MISCELLANEOUS MANUFACTURED COMMODITIES,11442933371,254561766
2025,2,910,WASTE AND SCRAP,639725519,268849
2025,2,930,USED OR SECOND-HAND MERCHANDISE,1054083422,5049003
2025,2,980,GOODS RETURNED (EXPORTS FOR CANADA ONLY),8158040051,926289
2025,2,990,OTHER SPECIAL CLASSIFICATION PROVISIONS,2594861487,89471
2025,3,111,AGRICULTURAL PRODUCTS,5618007805,41978011
2025,3,112,LIVESTOCK & LIVESTOCK PRODUCTS,1383327774,4176959
2025,3,113,"FORESTRY PRODUCTS, NESOI",328410264,5503292
2025,3,114,"FISH, FRESH/CHILLED/FROZEN & OTHER MARINE PRODUCTS",963825231,22221401
2025,3,115,PRODUCTS SUPPORTING AGRICULTURE AND FORESTRY ,10407167,640028
2025,3,211,OIL & GAS,12479308925,108414876
2025,3,212,MINERALS & ORES,626443817,2315113
2025,3,311,FOOD & KINDRED PRODUCTS,11128609934,393710159
2025,3,312,BEVERAGES & TOBACCO PRODUCTS,2732975829,18015478
2025,3,313,TEXTILES & FABRICS,759405217,56558499
2025,3,314,TEXTILE MILL PRODUCTS,1867650442,255112035
2025,3,315,APPAREL & ACCESSORIES,6897205753,1105767387
2025,3,316,LEATHER & ALLIED PRODUCTS,3475115542,533180783
2025,3,321,WOOD PRODUCTS,2402356640,64603402
2025,3,322,PAPER,2426387034,77849691
2025,3,323,"PRINTED MATTER AND RELATED PRODUCTS, NESOI",463430579,17631437
2025,3,324,PETROLEUM & COAL PRODUCTS,5575666259,20466994
2025,3,325,CHEMICALS,63365571592,596868719
2025,3,326,PLASTICS & RUBBER PRODUCTS,6757617448,536807567
2025,3,327,NONMETALLIC MINERAL PRODUCTS,2360043104,199947652
2025,3,331,PRIMARY METAL MFG,28236937467,463787429
2025,3,332,"FABRICATED METAL PRODUCTS, NESOI",8084195015,1053140541
2025,3,333,"MACHINERY, EXCEPT ELECTRICAL",22105165628,1279940062
2025,3,334,COMPUTER & ELECTRONIC PRODUCTS,56134026336,1879098419
2025,3,335,"ELECTRICAL EQUIPMENT, APPLIANCES & COMPONENTS",16796388395,1459300806
2025,3,336,TRANSPORTATION EQUIPMENT,46245210010,1739735626
2025,3,337,FURNITURE & FIXTURES,3672704082,346481892
2025,3,339,MISCELLANEOUS MANUFACTURED COMMODITIES,12531863734,687096243
2025,3,910,WASTE AND SCRAP,835023161,3485851
2025,3,930,USED OR SECOND-HAND MERCHANDISE,1557956845,10296341
