"Date","Imports","Exports"
"Jan 2023",3.7276530563745,3.13374284743808
"Feb",1.79533025908902,-1.13694705255125
"Mar",0.13504966996849,1.7865357326015
"Apr",2.20366477683855,-2.69199956612535
"May",-0.263323524833448,-1.49032188511474
"Jun",-0.926452838367653,-1.84780906880112
"Jul",-0.325098000469648,-0.581909212374243
"Aug",-1.69359032679086,-0.256706462935241
"Sep",-1.28078361499447,0.430627268238171
"Oct",-0.584217790177544,1.19678295619783
"Nov",-2.83033799590618,-1.90335387444689
"Dec",-1.73306276587456,1.50159764083768
"Jan 2024",-1.33261420658721,0.2213805555493
"Feb",-0.0436255675765329,2.35612329475023
"Mar",-1.53982362609769,-0.304123408756285
"Apr",-0.0570001187053748,-0.309165770880848
"May",-0.610285379019837,-1.42867105475087
"Jun",-0.0614149779935458,0.627789474519735
"Jul",1.37392427704532,0.0357111481608774
"Aug",-0.454908186577851,2.90807859318727
"Sep",2.12490248689936,1.92996887997425
"Oct",-2.73605026757321,-2.20273582688983
"Nov",0.916125392313316,0.65386254585742
"Dec",4.21634775691522,-2.62869097248656
"Jan 2025",16.9036987512389,-1.83876977944909
"Feb",15.3452379722421,0.603859478594493
"Mar",22.0194588190327,3.30077661429853
"Apr",-2.68349443875899,6.95560132691371
"May",-2.78566407205924,0.96918794396974
"Jun",-7.34463774180476,-0.396716180404255
"Jul",-1.5681811669221,-0.113412664456203
"Aug",-8.63196719699779,-1.13166647600537
"Sep",-7.99396771171818,3.82045074091
"Oct",-12.4617236346185,6.95098572570294
"Nov",-7.85961278151649,0.917789069692532
"Dec",-4.83691196751905,-2.51426174607806
"Jan 2026",-6.45034363316631,4.59008748746008

# Figure 14. Trade Deviation from Trend
# Percent difference from pre-2025 trend
# Source: Census Bureau via Haver Analytics 
