"Date","Customs duties (real)","2022-2024 average (real)"
"2020-01",8763.38282210016,7631.94495993192
"2020-02",7941.03290577475,7631.94495993192
"2020-03",6096.00284756794,7631.94495993192
"2020-04",5243.56930289521,7631.94495993192
"2020-05",4885.32065882977,7631.94495993192
"2020-06",5678.87446324046,7631.94495993192
"2020-07",6322.52752787523,7631.94495993192
"2020-08",7412.81619587716,7631.94495993192
"2020-09",7594.59991163363,7631.94495993192
"2020-10",7725.73413521361,7631.94495993192
"2020-11",7490.60452524507,7631.94495993192
"2020-12",7586.43432741848,7631.94495993192
"2021-01",7334.42949056128,7631.94495993192
"2021-02",7856.08961880356,7631.94495993192
"2021-03",7741.61544792489,7631.94495993192
"2021-04",8722.29391808398,7631.94495993192
"2021-05",7809.23830308884,7631.94495993192
"2021-06",8599.73186944232,7631.94495993192
"2021-07",8988.28424962363,7631.94495993192
"2021-08",8684.25998018767,7631.94495993192
"2021-09",9360.02969268346,7631.94495993192
"2021-10",9180.11724978217,7631.94495993192
"2021-11",9189.31440413315,7631.94495993192
"2021-12",9596.01722727957,7631.94495993192
"2022-01",9980.87411256705,7631.94495993192
"2022-02",9270.86405067039,7631.94495993192
"2022-03",9264.65209179698,7631.94495993192
"2022-04",10355.9701358311,7631.94495993192
"2022-05",9050.15660494841,7631.94495993192
"2022-06",9224.19262194114,7631.94495993192
"2022-07",9408.37614251576,7631.94495993192
"2022-08",9330.06256520726,7631.94495993192
"2022-09",9623.82309439099,7631.94495993192
"2022-10",8951.13604485725,7631.94495993192
"2022-11",7871.30887001152,7631.94495993192
"2022-12",7214.00593671769,7631.94495993192
"2023-01",7469.18417622088,7631.94495993192
"2023-02",6896.54954460843,7631.94495993192
"2023-03",6660.50875309771,7631.94495993192
"2023-04",6840.26974284933,7631.94495993192
"2023-05",6847.79978430064,7631.94495993192
"2023-06",6935.00642393374,7631.94495993192
"2023-07",7386.81986057817,7631.94495993192
"2023-08",6732.05241575632,7631.94495993192
"2023-09",7090.15016780977,7631.94495993192
"2023-10",7331.84750919001,7631.94495993192
"2023-11",6700.64047992027,7631.94495993192
"2023-12",6119.24210910656,7631.94495993192
"2024-01",6862.74247204272,7631.94495993192
"2024-02",6537.25849590431,7631.94495993192
"2024-03",6344.6084294917,7631.94495993192
"2024-04",6635.79450355289,7631.94495993192
"2024-05",5436.5493729085,7631.94495993192
"2024-06",6576.78540622265,7631.94495993192
"2024-07",7410.68673300693,7631.94495993192
"2024-08",7315.38486829566,7631.94495993192
"2024-09",7513.02553750226,7631.94495993192
"2024-10",7554.07694573977,7631.94495993192
"2024-11",6952.23323496876,7631.94495993192
"2024-12",7055.37931908557,7631.94495993192
"2025-01",7551.61372929855,7631.94495993192
"2025-02",7421.95076814111,7631.94495993192
"2025-03",8346.42972617175,7631.94495993192
"2025-04",15925.9236895837,7631.94495993192
"2025-05",22539.9461994307,7631.94495993192
"2025-06",26980.7512997542,7631.94495993192
"2025-07",27990.0849099824,7631.94495993192
"2025-08",29758.8026736548,7631.94495993192
"2025-09",29856.3573737685,7631.94495993192
"2025-10",31578.5776718928,7631.94495993192
"2025-11",31008.6925910614,7631.94495993192
"2025-12",28127.0628352065,7631.94495993192
"2026-01",27872.7554942014,7631.94495993192
"2026-02",26594,7631.94495993192

# Figure 3. Customs Duty Revenue (Inflation-Adjusted)
# Monthly federal customs duty revenue in 2025 dollars; deflated by CPI-U
# Source: U.S. Treasury via Haver Analytics; BLS CPI
# Note: October 2025 CPI interpolated (government shutdown delayed BLS release). 
