"Date","Employment index","Trend"
"Jan 2023",99.9779164132285,100.234556485889
"Feb",100.036929745838,100.236901680715
"Mar",100.023411816636,100.239019921203
"Apr",100.11116406403,100.241365116029
"May",100.127207973884,100.243634659409
"Jun",100.270493162611,100.245979854235
"Jul",100.273192294655,100.248249397615
"Aug",100.373611002875,100.250594592441
"Sep",100.431679379832,100.252939787267
"Oct",100.304967898637,100.255209330648
"Nov",100.456676454201,100.257554525474
"Dec",100.505622041725,100.259824068854
"Jan 2024",100.452971935306,100.26216926368
"Feb",100.426475188889,100.264514458506
"Mar",100.419093000354,100.26670835044
"Apr",100.479238339088,100.269053545266
"May",100.461171720553,100.271323088646
"Jun",100.418652853807,100.273668283472
"Jul",100.385717628962,100.275937826852
"Aug",100.194151604928,100.278283021678
"Sep",100.186574849697,100.280628216504
"Oct",99.8817196846808,100.282897759884
"Nov",100.065129633092,100.28524295471
"Dec",100,100.28751249809
"Jan 2025",99.7592491839363,100.289857692916
"Feb",99.8082166498581,100.292202887742
"Mar",99.8067115743737,100.29432112823
"Apr",99.8889287534598,100.296666323057
"May",99.8478157382411,100.298935866437
"Jun",99.7882607379367,100.301281061263
"Jul",99.7424512641067,100.303550604643
"Aug",99.6544680946629,100.305895799469
"Sep",99.6687423220202,100.308240994295
"Oct",99.6643127751522,100.310510537675
"Nov",99.6631849629043,100.312855732501
"Dec",99.6000041885583,100.315125275881
"Jan 2026",99.6333176941297,100.317470470707
"Feb",99.4457248047046,100.319815665533

# Figure 9. Tariff-Exposed Employment Index
# Leontief-adjusted total import content weighting; index (Dec 2024 = 100)
# Source: BLS via Haver; USITC DataWeb; BEA I-O Tables (including Total Requirements); and The Budget Lab analysis 
