# Figure 11. Manufacturing Tariff-Exposed Employment Index
# Leontief-adjusted total import content weighting, index (Dec 2024 = 100)
# Source: BLS via Haver, USITC DataWeb, BEA I-O Tables (including Total Requirements), and The Budget Lab analysis
"Date","Manufacturing employment index (Dec 2024 = 100)","Trend","Deviation from trend (%)"
2023-01-01,101.975907993689,102.221441072174,-0.24019723837756
2023-02-01,101.890646715014,102.141689170622,-0.245778641068872
2023-03-01,101.860071986868,102.069655195026,-0.2053335124513
2023-04-01,101.820535800949,101.989903293474,-0.166062999430294
2023-05-01,101.700845049265,101.912724033908,-0.207902385743342
2023-06-01,101.78553588737,101.832972132355,-0.0465824025285499
2023-07-01,101.71065428921,101.755792872789,-0.0443597187975375
2023-08-01,101.75453442914,101.676040971236,0.0771995616217325
2023-09-01,101.802333195414,101.596289069684,0.202806743845452
2023-10-01,101.403830662819,101.519109810117,-0.113554135289406
2023-11-01,101.648564918326,101.439357908565,0.206238499606615
2023-12-01,101.744655325218,101.362178648999,0.377336676576046
2024-01-01,101.718206633141,101.282426747446,0.430262089573663
2024-02-01,101.524599455771,101.202674845894,0.318098914250631
2024-03-01,101.356168963816,101.128068228313,0.225556306472918
2024-04-01,101.349715168125,101.048316326761,0.298272007214129
2024-05-01,101.268780101682,100.971137067194,0.294780313596155
2024-06-01,101.101929354924,100.891385165642,0.208684010965832
2024-07-01,101.019454185154,100.814205906075,0.203590632128248
2024-08-01,100.646656309727,100.734454004523,-0.0871575625868148
2024-09-01,100.539173355552,100.654702102971,-0.114777298034385
2024-10-01,99.9313285803689,100.577522843404,-0.64248377248366
2024-11-01,100.186281679762,100.497770941852,-0.309946438781705
2024-12-01,100,100.420591682285,-0.418830117647184
2025-01-01,99.8146492880884,100.340839780733,-0.524403118205974
2025-02-01,99.8179046115021,100.26108787918,-0.442029183058912
2025-03-01,99.7644666402592,100.189053903585,-0.423786079200061
2025-04-01,99.7362896741851,100.109302002033,-0.372605063053943
2025-05-01,99.629339633489,100.032122742466,-0.402653765544725
2025-06-01,99.5199744471928,99.9523708409137,-0.432602438624596
2025-07-01,99.4339691892635,99.875191581347,-0.44177376293103
2025-08-01,99.3082596052685,99.7954396797947,-0.488178694426755
2025-09-01,99.2938469319734,99.7156877782425,-0.423043610958407
2025-10-01,99.2278590387136,99.6385085186758,-0.412139328525951
2025-11-01,99.1712739693549,99.5587566171235,-0.389199966868625
2025-12-01,99.0906911856667,99.4815773575569,-0.392923174594684
2026-01-01,99.1451576482527,99.4018254560046,-0.258212368409172
2026-02-01,99.0825044206099,99.3220735544524,-0.24120432172724
