# Figure A1. PCE Core Goods & Durables Prices (Log-Linear Trend)
# Index (Dec 2024 = 100), log-linear trend (2023-2024 estimation) with 90% CIs
# Source: Bureau of Economic Analysis via Haver Analytics and The Budget Lab analysis
"Date","Core goods index (December 2024 = 100)","Core goods trend (log-linear)","Core goods trend, lower bound","Core goods trend, upper bound","Durable goods index (December 2024 = 100)","Durable goods trend (log-linear)","Durable goods trend, lower bound","Durable goods trend, upper bound","Forecast indicator"
2023-01-01,100.693736917178,100.92968518895,100.601424908979,101.259016575136,103.849235112349,104.193354593693,103.694733127383,104.694373707011,FALSE
2023-02-01,100.881759072301,100.888331097064,100.574713990694,101.20292613999,103.881661770877,104.003980856891,103.528256830621,104.48189088876,FALSE
2023-03-01,101.090158012708,100.850993578064,100.55059409583,101.15229051744,103.75863121352,103.833229467584,103.378120878282,104.290341612632,FALSE
2023-04-01,101.164255413741,100.809671728626,100.523896673753,101.096259201089,103.796780223553,103.644510266199,103.212152885396,104.078678799077,FALSE
2023-05-01,101.470833410518,100.769698962589,100.49806720805,101.042064898511,103.950329988937,103.462205370336,103.05179240153,103.874252845453,FALSE
2023-06-01,101.292073430524,100.728410422132,100.471383732509,100.986094639468,103.561210086598,103.274160513491,102.886348311398,103.663434506255,FALSE
2023-07-01,100.842857936758,100.688469877599,100.445567759929,100.931959392404,102.872620455499,103.092507042126,102.726494029347,103.459824153977,FALSE
2023-08-01,100.77061297075,100.647214619273,100.418898223638,100.876050124134,102.497806431923,102.905134120206,102.561572188193,103.249846919923,FALSE
2023-09-01,100.673360131893,100.605976264535,100.392235768438,100.820171825701,102.374775874566,102.718101752734,102.396915120153,103.04029584587,FALSE
2023-10-01,100.833595761629,100.566084267248,100.366440132809,100.766125524275,102.245069240453,102.537426357625,102.237821269323,102.837909430295,FALSE
2023-11-01,100.462182538947,100.524879154187,100.339791605879,100.710308116405,101.723381528249,102.35106230718,102.073683965907,102.62919440536,FALSE
2023-12-01,100.203767852843,100.485019313297,100.314009445699,100.656320709216,101.281806737115,102.171032513924,101.915092318575,102.427615453955,FALSE
2024-01-01,100.166719152326,100.443847415118,100.287374839763,100.600564125559,101.477320413535,101.985334392431,101.75147313907,102.219733142539,FALSE
2024-02-01,100.481633106719,100.402692386371,100.260747305643,100.544838427161,101.730057605005,101.799973781399,101.588116641325,102.012272739368,FALSE
2024-03-01,100.585369468166,100.364207786661,100.235844077451,100.492735880597,101.819707778583,101.626876926622,101.43553670651,101.818578076256,FALSE
2024-04-01,100.640942518941,100.323085388794,100.209230225383,100.437069911529,101.599397245641,101.442167819998,101.272687427654,101.611931838698,FALSE
2024-05-01,100.43439601356,100.283305562597,100.183481612756,100.383228978147,100.716247663373,101.263736721302,101.115340286796,101.412350941772,FALSE
2024-06-01,100.486264194283,100.242216312937,100.156881663568,100.327623668268,100.663792774577,101.079687630069,100.953005066008,101.206529163861,FALSE
2024-07-01,100.425133838431,100.202468552718,100.131146501826,100.273841405334,100.440621065883,100.901894113752,100.796154614898,101.007744537884,FALSE
2024-08-01,100.295463386622,100.161412424543,100.104560448255,100.218296688544,100.297562278259,100.718502679497,100.634331829478,100.802743930261,FALSE
2024-09-01,100.337143174703,100.120373118366,100.077981453609,100.162782739653,100.508335558692,100.535444563248,100.472768841804,100.598159382311,FALSE
2024-10-01,100.397347313043,100.080673671066,100.052266565158,100.109088842394,100.548392019227,100.358608340041,100.316664532608,100.400569684769,FALSE
2024-11-01,100.27601281885,100.039667446116,100.025701455183,100.053635387036,100.488307328425,100.176204339749,100.155611542632,100.196801370911,FALSE
2024-12-01,100,100,100,100,100,100,100,100,FALSE
2025-01-01,100.399199748069,99.9590268296107,99.944606972255,99.9734487674418,100.308053256018,99.8182477783339,99.797044663693,99.8394553978384,TRUE
2025-02-01,100.813218976344,99.9180704472284,99.8892446283852,99.946904584563,100.715293938122,99.6368258953686,99.5945012360713,99.6791685413697,TRUE
2025-03-01,100.548320767649,99.8810920096502,99.8392662900037,99.9229352513688,100.665700225079,99.4732444025496,99.4119121342112,99.5346145098859,TRUE
2025-04-01,100.83730063168,99.8401675596344,99.7839622975272,99.8964044804512,101.157822454507,99.2924495708846,99.21015035361,99.374817059008,TRUE
2025-05-01,101.086453142656,99.8005792186497,99.7304714731594,99.8707362479337,101.178804410026,99.1177997063379,99.0152869115566,99.220418634964,TRUE
2025-06-01,101.484726673212,99.759687757277,99.6752277454261,99.8442193364949,101.657574485942,98.9376509033051,98.8143301030099,99.0611256086035,TRUE
2025-07-01,101.483800455699,99.7201313279161,99.6217952099926,99.8185645128726,101.533590203334,98.7636251097678,98.6202441106044,98.9072145662425,TRUE
2025-08-01,101.36987570161,99.6792728285947,99.5666116813319,99.7920614536725,101.451569831763,98.5841200269329,98.420089062503,98.748424372108,TRUE
2025-09-01,101.548635681603,99.6384310702958,99.5114587204985,99.7655654313613,101.386716514706,98.404941198574,98.2203402397525,98.589889107059,TRUE
2025-10-01,101.545857029065,99.5989227212936,99.4581139761283,99.7399308177428,101.46015335902,98.2318524116085,98.0274209314906,98.4367102237635,TRUE
2025-11-01,101.52548024378,99.5581138849812,99.4030211154588,99.713448636758,101.495441193301,98.0533138374666,97.828469049666,98.2786753989538,TRUE
2025-12-01,101.966359779931,99.5186373831222,99.3497345008397,99.6878274144724,102.051463014535,97.8808435433599,97.6363194345118,98.1259800476787,TRUE
2026-01-01,102.271085341682,99.4778614422581,99.2947016748431,99.6613590675834,102.472055850151,97.7029429356343,97.4381613140457,97.968444083394,TRUE
