"Date","Core goods deviation from trend (%)","Durable goods deviation from trend (%)"
2024-12-01,0,0
2025-01-01,0.505185940886621,0.590328760028691
2025-02-01,0.995709773291975,1.25519100982316
2025-03-01,0.818799850705254,1.30027432156175
2025-04-01,1.21069354406913,1.88586397434285
2025-05-01,1.56281169420285,1.97898643308299
2025-06-01,1.98322910560114,2.49387707507138
2025-07-01,2.03223643459121,2.47302371570732
2025-08-01,2.07858568483177,2.6016264723135
2025-09-01,2.3053648464862,2.62820653682181
2025-10-01,2.42835913349233,2.81002880302754
2025-11-01,2.48639231254766,2.90661242221946
2025-12-01,3.00642735629033,3.54625241064355
2026-01-01,3.41634159255337,4.11359952089974

# Figure 6. PCE Goods Prices: Deviation from Trend
# Percent difference from trend (local projection)
# Source: Bureau of Economic Analysis via Haver Analytics and The Budget Lab analysis 
