"Date","Core goods deviation from trend (%)","Durable goods deviation from trend (%)"
2024-12-01,0,0
2025-01-01,0.440353345184574,0.490697330984813
2025-02-01,0.895882521659397,1.08239903576031
2025-03-01,0.668023090831293,1.19877041277943
2025-04-01,0.9987293655636,1.87866538864165
2025-05-01,1.28844334779772,2.07934872423914
2025-06-01,1.72919438173473,2.74912892898098
2025-07-01,1.76861893811928,2.80464097028412
2025-08-01,1.69604254228677,2.9086325506041
2025-09-01,1.91713638080069,3.03010730946474
2025-10-01,1.95477446399612,3.28640951804993
2025-11-01,1.97609846352873,3.51046509406108
2025-12-01,2.45956180789071,4.26091492491825
2026-01-01,2.80788494940138,4.88123773063647

# Figure A2. PCE Goods Prices: Deviation from Log-Linear Trend
# Percent difference from trend (log-linear; 2023-2024 estimation)
# Source: Bureau of Economic Analysis via Haver Analytics and The Budget Lab analysis 
