date,pce_durables,pce_core_goods
1982-01-01,128.166,85.205
1982-02-01,128.403,85.562
1982-03-01,128.496,85.842
1982-04-01,128.821,86.14
1982-05-01,129.452,86.5
1982-06-01,129.789,86.759
1982-07-01,130.033,87.049
1982-08-01,129.661,86.998
1982-09-01,129.752,87.185
1982-10-01,130.299,87.611
1982-11-01,130.078,87.678
1982-12-01,130.199,87.922
1983-01-01,130.796,88.457
1983-02-01,131.156,88.736
1983-03-01,131.41,88.911
1983-04-01,131.561,89.102
1983-05-01,131.505,89.183
1983-06-01,131.759,89.429
1983-07-01,132.11,89.848
1983-08-01,132.27,89.907
1983-09-01,132.604,89.969
1983-10-01,132.799,90.07
1983-11-01,133.284,90.363
1983-12-01,133.371,90.457
1984-01-01,133.186,90.571
1984-02-01,133.129,90.584
1984-03-01,133.254,90.627
1984-04-01,133.951,90.957
1984-05-01,133.99,90.969
1984-06-01,134.111,91.015
1984-07-01,134.059,91.264
1984-08-01,134.252,91.514
1984-09-01,134.538,91.734
1984-10-01,134.409,91.754
1984-11-01,134.666,91.868
1984-12-01,134.514,91.972
1985-01-01,134.641,92.134
1985-02-01,135.402,92.685
1985-03-01,135.601,92.848
1985-04-01,135.815,92.94
1985-05-01,135.417,92.875
1985-06-01,135.355,93.08
1985-07-01,135.22,93.046
1985-08-01,135.367,93.205
1985-09-01,135.31,93.333
1985-10-01,135.599,93.568
1985-11-01,135.712,93.74
1985-12-01,135.636,93.784
1986-01-01,135.776,94.013
1986-02-01,135.59,93.847
1986-03-01,135.673,93.79
1986-04-01,135.803,93.872
1986-05-01,136.286,94.057
1986-06-01,136.825,94.298
1986-07-01,137.163,94.623
1986-08-01,137.484,94.95
1986-09-01,137.682,95.086
1986-10-01,137.836,95.123
1986-11-01,138.229,95.3
1986-12-01,138.598,95.688
1987-01-01,139.16,96.106
1987-02-01,139.32,96.375
1987-03-01,139.678,96.738
1987-04-01,140.162,97.056
1987-05-01,140.437,97.313
1987-06-01,140.836,97.509
1987-07-01,141.149,97.689
1987-08-01,141.446,97.915
1987-09-01,141.854,98.243
1987-10-01,142.104,98.523
1987-11-01,142.167,98.717
1987-12-01,141.906,98.605
1988-01-01,141.681,98.837
1988-02-01,141.633,98.675
1988-03-01,142.121,99.093
1988-04-01,142.345,99.627
1988-05-01,142.537,99.795
1988-06-01,142.909,100.069
1988-07-01,143.171,100.455
1988-08-01,143.467,100.314
1988-09-01,144.198,101.024
1988-10-01,144.531,101.387
1988-11-01,144.684,101.544
1988-12-01,144.824,101.802
1989-01-01,145.485,102.341
1989-02-01,145.629,102.297
1989-03-01,145.123,102.315
1989-04-01,145.452,102.644
1989-05-01,145.497,102.841
1989-06-01,145.642,102.95
1989-07-01,145.857,103.074
1989-08-01,145.801,102.895
1989-09-01,145.916,103.243
1989-10-01,146.205,103.6
1989-11-01,146.56,103.781
1989-12-01,146.243,103.717
1990-01-01,146.695,104.051
1990-02-01,147.391,104.958
1990-03-01,147.258,105.203
1990-04-01,147.207,105.326
1990-05-01,147.278,105.452
1990-06-01,146.904,105.568
1990-07-01,147.123,105.824
1990-08-01,147.144,105.874
1990-09-01,147.314,106.209
1990-10-01,147.745,106.39
1990-11-01,147.602,106.324
1990-12-01,147.127,106.492
1991-01-01,148.265,107.138
1991-02-01,149.027,107.574
1991-03-01,148.968,107.763
1991-04-01,149.255,108.095
1991-05-01,149.321,108.278
1991-06-01,148.806,108.183
1991-07-01,149.735,108.611
1991-08-01,149.466,108.821
1991-09-01,149.838,109.143
1991-10-01,150.107,109.208
1991-11-01,150.303,109.547
1991-12-01,149.594,109.422
1992-01-01,149.841,109.557
1992-02-01,150.119,109.681
1992-03-01,150.024,109.781
1992-04-01,150.32,110.024
1992-05-01,150.61,110.25
1992-06-01,150.282,110.176
1992-07-01,150.497,110.473
1992-08-01,150.609,110.495
1992-09-01,150.477,110.456
1992-10-01,150.77,110.548
1992-11-01,151.034,110.769
1992-12-01,150.486,110.775
1993-01-01,150.808,110.848
1993-02-01,150.648,110.995
1993-03-01,150.604,110.954
1993-04-01,151.398,111.23
1993-05-01,151.39,111.165
1993-06-01,151.656,111.106
1993-07-01,151.918,111.23
1993-08-01,152.116,111.373
1993-09-01,152.622,111.194
1993-10-01,153.175,111.355
1993-11-01,153.441,111.703
1993-12-01,153.057,111.563
1994-01-01,153.237,111.442
1994-02-01,153.512,111.37
1994-03-01,153.984,111.669
1994-04-01,154.032,111.81
1994-05-01,154.546,112.139
1994-06-01,154.906,112.391
1994-07-01,155.506,112.577
1994-08-01,155.595,112.499
1994-09-01,155.65,112.581
1994-10-01,155.707,112.59
1994-11-01,156.013,112.678
1994-12-01,155.826,112.475
1995-01-01,156.378,112.707
1995-02-01,156.362,112.567
1995-03-01,156.676,112.707
1995-04-01,156.742,112.802
1995-05-01,156.232,112.658
1995-06-01,155.93,112.451
1995-07-01,155.81,112.575
1995-08-01,155.937,112.792
1995-09-01,155.647,112.762
1995-10-01,155.598,112.822
1995-11-01,155.227,112.684
1995-12-01,155.529,112.745
1996-01-01,155.633,112.862
1996-02-01,155.464,112.896
1996-03-01,155.61,113.097
1996-04-01,155.047,112.846
1996-05-01,154.374,112.615
1996-06-01,154.21,112.318
1996-07-01,154.198,112.308
1996-08-01,154.147,112.065
1996-09-01,154.076,112.313
1996-10-01,154.033,112.283
1996-11-01,153.575,112.209
1996-12-01,152.811,111.975
