date,twdol
1996-08-01,89.1762
1996-09-01,89.6331
1996-10-01,90.0393
1996-11-01,89.655
1996-12-01,90.652
1997-01-01,91.5269
1997-02-01,93.2512
1997-03-01,94.0187
1997-04-01,94.7587
1997-05-01,93.8091
1997-06-01,93.5546
1997-07-01,94.4769
1997-08-01,96.1728
1997-09-01,96.5385
1997-10-01,96.956
1997-11-01,98.6245
1997-12-01,102.231
1998-01-01,105.1038
1998-02-01,104.0776
1998-03-01,103.8506
1998-04-01,103.7603
1998-05-01,104.5376
1998-06-01,106.7315
1998-07-01,107.0722
1998-08-01,108.9952
1998-09-01,107.8864
1998-10-01,105.2264
1998-11-01,105.3305
1998-12-01,104.6001
1999-01-01,104.724
1999-02-01,106.0406
1999-03-01,107.2651
1999-04-01,106.6133
1999-05-01,106.4256
1999-06-01,107.0573
1999-07-01,107.1989
1999-08-01,106.2463
1999-09-01,105.5727
1999-10-01,105.1655
1999-11-01,105.4119
1999-12-01,105.4915
2000-01-01,105.2406
2000-02-01,106.5548
2000-03-01,106.5845
2000-04-01,107.2299
2000-05-01,109.6804
2000-06-01,108.5729
2000-07-01,108.7205
2000-08-01,109.4996
2000-09-01,110.8176
2000-10-01,112.4624
2000-11-01,113.4048
2000-12-01,112.3249
2001-01-01,112.1425
2001-02-01,112.8649
2001-03-01,114.689
2001-04-01,115.4385
2001-05-01,115.2588
2001-06-01,115.9473
2001-07-01,116.333
2001-08-01,114.5411
2001-09-01,114.944
2001-10-01,115.6559
2001-11-01,116.1748
2001-12-01,116.2321
2002-01-01,117.5814
2002-02-01,118.2322
2002-03-01,117.5449
2002-04-01,117.1734
2002-05-01,115.7598
2002-06-01,114.5036
2002-07-01,112.9253
2002-08-01,114.262
2002-09-01,115.0741
2002-10-01,115.9185
2002-11-01,114.7414
2002-12-01,114.094
2003-01-01,112.7789
2003-02-01,112.5997
2003-03-01,112.0789
2003-04-01,111.1299
2003-05-01,107.2115
2003-06-01,106.6124
2003-07-01,107.7695
2003-08-01,109.1304
2003-09-01,107.949
2003-10-01,105.6339
2003-11-01,105.4734
2003-12-01,103.9806
2004-01-01,102.1976
2004-02-01,102.6578
2004-03-01,103.7508
2004-04-01,104.6152
2004-05-01,106.3226
2004-06-01,105.2344
2004-07-01,104.4112
2004-08-01,104.5459
2004-09-01,104.1587
2004-10-01,102.5448
2004-11-01,99.7651
2004-12-01,98.6694
2005-01-01,99.2915
2005-02-01,99.5192
2005-03-01,98.8986
2005-04-01,99.806
2005-05-01,100.3656
2005-06-01,101.3319
2005-07-01,101.7665
2005-08-01,100.4173
2005-09-01,100.2415
2005-10-01,101.2591
2005-11-01,102.032
2005-12-01,101.3296
2006-01-01,100
2006-02-01,100.2112
2006-03-01,100.4281
2006-04-01,99.7435
2006-05-01,97.5118
2006-06-01,98.6927
2006-07-01,98.4387
2006-08-01,97.7138
2006-09-01,97.9814
2006-10-01,98.3156
2006-11-01,97.5133
2006-12-01,96.7951
2007-01-01,97.8338
2007-02-01,97.4764
2007-03-01,97.0118
2007-04-01,95.6322
2007-05-01,94.7225
2007-06-01,94.4449
2007-07-01,93.2059
2007-08-01,93.7603
2007-09-01,92.4366
2007-10-01,90.4002
2007-11-01,89.053
2007-12-01,90.005
2008-01-01,89.3971
2008-02-01,88.6434
2008-03-01,86.8399
2008-04-01,86.5475
2008-05-01,86.8245
2008-06-01,87.0728
2008-07-01,86.4538
2008-08-01,88.945
2008-09-01,91.2651
2008-10-01,98.04
2008-11-01,100.7667
2008-12-01,99.6622
2009-01-01,100.3521
2009-02-01,102.9737
2009-03-01,103.4397
2009-04-01,100.7162
2009-05-01,97.5519
2009-06-01,96.0426
2009-07-01,95.6605
2009-08-01,94.373
2009-09-01,93.6638
2009-10-01,92.2598
2009-11-01,91.7996
2009-12-01,92.2586
2010-01-01,92.4403
2010-02-01,93.8867
2010-03-01,93.1499
2010-04-01,92.6391
2010-05-01,95.5306
2010-06-01,96.0606
2010-07-01,94.4547
2010-08-01,93.6822
2010-09-01,92.7626
2010-10-01,90.2291
2010-11-01,90.5095
2010-12-01,91.1835
2011-01-01,90.1112
2011-02-01,89.3967
2011-03-01,88.4872
2011-04-01,86.9214
2011-05-01,86.9464
2011-06-01,86.9412
2011-07-01,86.3178
2011-08-01,86.8983
2011-09-01,89.7253
2011-10-01,90.6098
2011-11-01,91.2649
2011-12-01,92.2056
2012-01-01,91.6463
2012-02-01,89.9605
2012-03-01,90.5112
2012-04-01,90.8156
2012-05-01,92.4928
2012-06-01,93.8809
2012-07-01,93.4062
2012-08-01,92.5283
2012-09-01,90.9802
2012-10-01,90.7566
2012-11-01,91.4751
2012-12-01,90.8804
2013-01-01,90.8255
2013-02-01,91.5509
2013-03-01,92.4132
2013-04-01,92.0478
2013-05-01,92.529
2013-06-01,93.2836
2013-07-01,93.8724
2013-08-01,93.7149
2013-09-01,93.4706
2013-10-01,92.4993
2013-11-01,93.3737
2013-12-01,93.534
2014-01-01,94.4648
2014-02-01,94.6456
2014-03-01,94.4408
2014-04-01,93.9956
2014-05-01,93.67
2014-06-01,93.8274
2014-07-01,93.6039
2014-08-01,94.5808
2014-09-01,96.1209
2014-10-01,97.4396
2014-11-01,99.1147
2014-12-01,101.4441
2015-01-01,103.7607
2015-02-01,105.1685
2015-03-01,107.3647
2015-04-01,106.3523
2015-05-01,105.4065
2015-06-01,106.179
2015-07-01,108.1236
2015-08-01,109.9768
2015-09-01,110.8513
2015-10-01,109.9036
2015-11-01,111.6916
2015-12-01,112.7857
2016-01-01,115.2344
2016-02-01,114.2817
2016-03-01,111.8934
2016-04-01,110.0171
2016-05-01,111.1405
2016-06-01,111.5596
2016-07-01,112.4773
2016-08-01,111.4384
2016-09-01,112.3169
2016-10-01,113.4747
2016-11-01,116.1075
2016-12-01,117.9048
2017-01-01,117.7858
2017-02-01,116.1204
2017-03-01,115.6558
2017-04-01,114.7698
2017-05-01,114.2591
2017-06-01,112.7603
2017-07-01,111.0606
2017-08-01,109.9059
2017-09-01,108.8542
2017-10-01,110.8892
2017-11-01,111.1635
2017-12-01,110.8758
2018-01-01,108.3568
2018-02-01,107.6501
2018-03-01,107.9472
2018-04-01,107.9434
2018-05-01,111.047
2018-06-01,112.8444
2018-07-01,113.0595
2018-08-01,113.8316
2018-09-01,114.0787
2018-10-01,114.8313
2018-11-01,116.169
2018-12-01,116.2118
2019-01-01,114.4425
2019-02-01,114.413
2019-03-01,114.7835
2019-04-01,114.9037
2019-05-01,115.9574
2019-06-01,115.4271
2019-07-01,115.0776
2019-08-01,117.1004
2019-09-01,117.3239
2019-10-01,116.7463
2019-11-01,116.5595
2019-12-01,115.9096
2020-01-01,115.2794
2020-02-01,116.7105
2020-03-01,121.0227
2020-04-01,123.2803
2020-05-01,122.615
2020-06-01,119.6766
2020-07-01,118.69
2020-08-01,116.9453
2020-09-01,116.3431
2020-10-01,115.7798
2020-11-01,114.0984
2020-12-01,111.8992
2021-01-01,111.4873
2021-02-01,112.0171
2021-03-01,113.3366
2021-04-01,112.6323
2021-05-01,111.2123
2021-06-01,111.5777
2021-07-01,113.0633
2021-08-01,113.4025
2021-09-01,113.4438
2021-10-01,114.0635
2021-11-01,114.9898
2021-12-01,115.8045
2022-01-01,115.0373
2022-02-01,114.9977
2022-03-01,116.2908
2022-04-01,117.1688
2022-05-01,119.6962
2022-06-01,120.0257
2022-07-01,122.7512
2022-08-01,122.3177
2022-09-01,125.5946
2022-10-01,127.4806
2022-11-01,124.8527
2022-12-01,122.2343
2023-01-01,119.8101
2023-02-01,120.3084
2023-03-01,120.745
2023-04-01,119.2451
2023-05-01,119.6293
2023-06-01,119.2969
2023-07-01,118.0492
2023-08-01,119.8564
2023-09-01,121.6455
2023-10-01,123.4971
2023-11-01,121.2221
2023-12-01,119.8331
2024-01-01,120.2274
2024-02-01,121.0659
2024-03-01,120.6588
2024-04-01,122.1428
2024-05-01,121.8583
2024-06-01,123.7095
2024-07-01,123.3824
2024-08-01,122.6137
2024-09-01,121.8849
2024-10-01,123.5953
2024-11-01,126.3113
2024-12-01,127.5758
2025-01-01,128.83690000000001
2025-02-01,127.8758
2025-03-01,126.243
2025-04-01,124.1402
2025-05-01,122.3422
2025-06-01,120.5939
2025-07-01,120.1127
2025-08-01,120.5758
2025-09-01,120.0291
2025-10-01,120.7618
2025-11-01,121.4177
2025-12-01,120.1883
2026-01-01,119.2298
