date,twdol
1982-01-01,37.2915
1982-02-01,38.6168
1982-03-01,40.0416
1982-04-01,40.5326
1982-05-01,40.1619
1982-06-01,41.7734
1982-07-01,42.5632
1982-08-01,44.0168
1982-09-01,44.651
1982-10-01,44.7493
1982-11-01,44.9461
1982-12-01,44.3418
1983-01-01,44.47
1983-02-01,45.2135
1983-03-01,45.9191
1983-04-01,46.4789
1983-05-01,46.642
1983-06-01,47.5769
1983-07-01,48.0798
1983-08-01,49.0218
1983-09-01,49.3166
1983-10-01,49.1603
1983-11-01,49.9217
1983-12-01,50.7275
1984-01-01,51.3315
1984-02-01,51.2061
1984-03-01,51.0535
1984-04-01,51.7183
1984-05-01,52.9199
1984-06-01,53.5858
1984-07-01,55.2251
1984-08-01,55.5223
1984-09-01,56.9345
1984-10-01,57.8579
1984-11-01,57.7734
1984-12-01,59.0432
1985-01-01,60.2498
1985-02-01,62.0299
1985-03-01,62.6927
1985-04-01,61.4382
1985-05-01,61.9645
1985-06-01,61.8996
1985-07-01,60.933
1985-08-01,61.0563
1985-09-01,61.7893
1985-10-01,59.8051
1985-11-01,59.3561
1985-12-01,59.5001
1986-01-01,59.5705
1986-02-01,58.443
1986-03-01,57.9379
1986-04-01,57.7782
1986-05-01,57.0707
1986-06-01,57.5697
1986-07-01,56.8645
1986-08-01,56.4982
1986-09-01,56.8131
1986-10-01,57.1086
1986-11-01,57.9537
1986-12-01,58.1416
1987-01-01,56.8145
1987-02-01,56.556
1987-03-01,56.5125
1987-04-01,55.801
1987-05-01,55.8987
1987-06-01,56.8675
1987-07-01,57.7814
1987-08-01,57.8073
1987-09-01,57.1971
1987-10-01,57.3691
1987-11-01,56.0095
1987-12-01,55.4227
1988-01-01,55.7823
1988-02-01,56.4335
1988-03-01,55.9492
1988-04-01,55.6546
1988-05-01,56.0366
1988-06-01,56.9398
1988-07-01,58.3909
1988-08-01,59.222
1988-09-01,59.4956
1988-10-01,58.5462
1988-11-01,57.5641
1988-12-01,57.6463
1989-01-01,58.8673
1989-02-01,59.1977
1989-03-01,60.1818
1989-04-01,60.7379
1989-05-01,62.3075
1989-06-01,63.8003
1989-07-01,63.2983
1989-08-01,63.928
1989-09-01,64.9645
1989-10-01,64.4618
1989-11-01,64.7943
1989-12-01,64.8801
1990-01-01,65.2869
1990-02-01,66.1879
1990-03-01,67.764
1990-04-01,68.1042
1990-05-01,67.7392
1990-06-01,67.9757
1990-07-01,66.9314
1990-08-01,65.9052
1990-09-01,65.5218
1990-10-01,64.4507
1990-11-01,64.509
1990-12-01,65.6037
1991-01-01,65.89
1991-02-01,65.5421
1991-03-01,67.9982
1991-04-01,69.0961
1991-05-01,69.5669
1991-06-01,70.6303
1991-07-01,70.811
1991-08-01,70.2779
1991-09-01,69.5824
1991-10-01,69.4747
1991-11-01,68.8844
1991-12-01,68.5179
1992-01-01,68.7701
1992-02-01,69.9191
1992-03-01,71.4185
1992-04-01,71.4206
1992-05-01,71.1032
1992-06-01,70.3217
1992-07-01,69.3966
1992-08-01,69.1534
1992-09-01,69.8129
1992-10-01,71.459
1992-11-01,73.8778
1992-12-01,74.3782
1993-01-01,75.4316
1993-02-01,75.8759
1993-03-01,75.6647
1993-04-01,74.755
1993-05-01,75.0323
1993-06-01,75.812
1993-07-01,76.9967
1993-08-01,77.2073
1993-09-01,77.2887
1993-10-01,78.1658
1993-11-01,79.2584
1993-12-01,79.9361
1994-01-01,81.9806
1994-02-01,82.062
1994-03-01,82.6208
1994-04-01,83.251
1994-05-01,83.2652
1994-06-01,83.2283
1994-07-01,82.2735
1994-08-01,82.2333
1994-09-01,81.4699
1994-10-01,80.9927
1994-11-01,81.3965
1994-12-01,83.467
1995-01-01,85.8253
1995-02-01,85.436
1995-03-01,84.8004
1995-04-01,82.3387
1995-05-01,82.2584
1995-06-01,82.5265
1995-07-01,82.5078
1995-08-01,84.4627
1995-09-01,85.6727
1995-10-01,85.5807
1995-11-01,86.8467
1995-12-01,87.5988
1996-01-01,88.3185
1996-02-01,88.52
1996-03-01,88.5167
1996-04-01,88.786
1996-05-01,89.2877
1996-06-01,89.6896
1996-07-01,89.5819
