date,import_price_nonpetroleum,import_price_all,import_price_fuels
2020-01-01,112.1,125.2,227.9
2020-02-01,112.3,124.3,207.5
2020-03-01,112.1,121.3,151.3
2020-04-01,111.5,118.2,102.3
2020-05-01,111.6,119,117.1
2020-06-01,111.9,120.6,142.6
2020-07-01,112.1,122.1,166.1
2020-08-01,113,123.2,171.7
2020-09-01,113.7,123.4,161.2
2020-10-01,113.6,123.3,160.9
2020-11-01,113.6,123.4,165
2020-12-01,114.1,124.6,179
2021-01-01,115.1,126.5,196.8
2021-02-01,115.7,128,217.9
2021-03-01,116.7,129.9,237.1
2021-04-01,117.6,131.1,243
2021-05-01,118.8,132.8,255.3
2021-06-01,119.6,134.2,267.6
2021-07-01,119.7,134.6,273.4
2021-08-01,119.7,134.3,267
2021-09-01,119.9,134.9,276.4
2021-10-01,120.7,136.9,305.4
2021-11-01,121.5,137.9,309.1
2021-12-01,122,137.4,285.4
2022-01-01,123.8,140.1,305.7
2022-02-01,124.8,142.6,341.6
2022-03-01,126.2,146.8,410
2022-04-01,126.8,147.5,411.3
2022-05-01,126.7,148.2,433.2
2022-06-01,126,148.5,456.5
2022-07-01,125.2,146.4,428.2
2022-08-01,124.9,144.6,387.9
2022-09-01,124.5,143.1,363.4
2022-10-01,124.3,142.7,357.5
2022-11-01,124,141.6,340.8
2022-12-01,125.1,141.8,318.2
2023-01-01,125.5,141.3,296.9
2023-02-01,125.1,141,296.9
2023-03-01,124.3,139.9,287.9
2023-04-01,124.1,140.3,304.8
2023-05-01,123.9,139.7,291
2023-06-01,123.5,139.4,294.6
2023-07-01,123.5,139.4,297
2023-08-01,123.3,140.3,323.5
2023-09-01,123.1,141,346.3
2023-10-01,122.8,140.1,332.2
2023-11-01,123.1,139.4,307.3
2023-12-01,123.1,138.4,281.6
2024-01-01,123.9,139.4,287.1
2024-02-01,123.9,139.7,292.1
2024-03-01,124.1,140.5,310.3
2024-04-01,124.8,141.7,324.4
2024-05-01,124.5,141.5,326.2
2024-06-01,124.8,141.6,319.8
2024-07-01,125,141.8,319.8
2024-08-01,125,141.4,309.2
2024-09-01,125.3,140.9,286.2
2024-10-01,125.6,141.1,281.9
2024-11-01,125.7,141.3,283.7
2024-12-01,125.9,141.4,283.8
2025-01-01,126,141.8,291.3
2025-02-01,126.2,142.1,294.7
2025-03-01,126,141.6,287
2025-04-01,126.3,141.7,279.9
2025-05-01,126.1,141,266.3
2025-06-01,125.8,140.8,269.6
2025-07-01,125.9,141.2,276.7
2025-08-01,125.8,141,275.8
2025-09-01,125.8,140.8,271.2
2025-10-01,NA,NA,263.2
2025-11-01,126.6,141.2,259.8
2025-12-01,127.1,141.4,251.3
