date,total_employment,I_t_2025,I_t_recent,I_t_2025_direct,I_t_recent_direct,n_industries,year,month,I_t_2025_pct,I_t_recent_pct,I_t_2025_direct_pct,I_t_recent_direct_pct
1996-01-01,105344.6,696.7027891587991,911.6492554860305,232.31094036638692,317.9593240279548,64,1996,1,0.6613559585956936,0.8653972348711091,0.22052477333094142,0.3018278336316762
1996-02-01,105901.7,698.6915666218579,914.1648084627533,233.34922244360314,319.34123275500696,64,1996,2,0.6597548166099862,0.863220145156077,0.2203451148032592,0.30154495419337646
1996-03-01,106202.2,697.2107624127314,912.4841073605344,233.65588346517168,319.74121960411463,64,1996,3,0.6564937095584944,0.8591951083504243,0.22001039852768745,0.3010683579098311
1996-04-01,106511.5,698.4577198735568,913.7861544743747,234.19179389220378,320.4520866221206,64,1996,4,0.6557580353985784,0.857922528998629,0.2198746556871359,0.30086149065792955
1996-05-01,106887,699.6039169699999,915.2921612459672,234.8656361813565,321.3674533191783,64,1996,5,0.6545266655159185,0.8563175701871765,0.21973264866761766,0.30066093474340033
1996-06-01,107320.9,700.3544042478824,916.3425071954342,235.5614242702435,322.31135331916954,64,1996,6,0.65257969719587,0.8538341620275588,0.21949259116373745,0.30032486991738755
1996-07-01,107591.6,700.6540909281417,916.6873896883657,235.91283833262207,322.75378477528403,64,1996,7,0.6512163504661532,0.8520064667579678,0.21926696724709183,0.2999804675971767
1996-08-01,107899,701.8908657107812,918.3462685095807,236.57138735373917,323.67412831437844,64,1996,8,0.6505072945168919,0.8511165705980415,0.2192526226876423,0.299978802689903
1996-09-01,108008.9,702.0524215805274,918.5274638027233,236.7928911818496,323.95546879501785,64,1996,9,0.649994974099845,0.8504183116416548,0.2192346104643688,0.29993405061528994
1996-10-01,108311,703.1189487324941,919.8950502996972,237.34696838917648,324.6907578078155,64,1996,10,0.6491667039658892,0.8493089808973209,0.2191346847404017,0.29977634571540795
1996-11-01,108603.9,703.7992869219839,920.7711914572992,237.8241997114807,325.32445081139565,64,1996,11,0.6480423694931619,0.8478251623167301,0.21898311175886012,0.29955135203376276
1996-12-01,108750.5,704.2028793465056,921.2379281027723,238.02059966095493,325.57340569030606,64,1996,12,0.6475399003650609,0.8471114414212093,0.2188685106376108,0.2993764678693947
1997-01-01,108705.8,704.5818139120191,921.7063136856983,237.90783635099208,325.4049512012427,64,1997,1,0.6481547570709375,0.8478906495198033,0.21885477716091697,0.2993446082925131
