date,dv_canada,dv_mexico,dv_china,dv_eu,dv_world,m_canada,m_mexico,m_china,m_eu,m_world,share_canada,share_mexico,share_china,share_eu,dv_row,m_row,share_row
2003-05-01,498904,496445,5928276,7772588,32226414,18667.9,11494.7,11884.7,20815.2,102068.4,2.6725234225595806,4.318903494654058,49.88157883665553,37.34092394019755,17530201,39205.90000000001,44.713170721753606
2003-06-01,513120,548512,5974034,7906303,33261439,18574.3,11419.8,12127.3,21285.9,103957.7,2.7625267170229835,4.803166430235206,49.261039143090386,37.143381299357785,18319470,40550.39999999999,45.1770389441288
2003-07-01,491235,497079,6491793,8258224,36116871,17079.4,11124.7,13438.6,22315.9,107631,2.8761841750881176,4.468246334732622,48.30706323575372,37.006009168350815,20378540,43672.4,46.6622855625063
2003-08-01,461471,494933,6492982,6975411,32936472,17584.3,11403,13764.9,19278.8,102307,2.624335344597169,4.340375339822853,47.17057152612805,36.18176961221653,18511675,40276,45.96204935942
2003-09-01,507465,509558,6653872,7075910,33563756,19360.8,11816.9,14747.5,20451.9,108321.9,2.6210952026775756,4.3121123137201804,45.118643837938635,34.59781242818515,18816951,41944.799999999996,44.86122475253191
2003-10-01,560876,592338,7069906,8539371,36675610,20137.7,12965.7,16458.3,23100.2,117157.6,2.785203871345784,4.568499965293042,42.95647788653749,36.96665396836391,19913119,44495.70000000001,44.75290646062427
2003-11-01,545994,588010,5885451,8060123,32845077,18640.5,11692.5,14156.9,21602.3,106066.3,2.9290737909390843,5.028950181740432,41.57302092972331,37.31141128490948,17765499,39974.100000000006,44.44252403431221
2003-12-01,531918,565898,5758279,8947960,34507164,18354.2,11416.9,13192.8,23570.8,109254.9,2.898072375804993,4.9566694987255735,43.64713328482203,37.962054745702304,18703109,42720.2,43.780480896625015
2004-01-01,610651,536630,6556182,6669657,32074902,18925.8,11200.7,14089,19117.1,103993,3.226553170803876,4.791039845723928,46.53404783873944,34.88843496136967,17701782,40660.4,43.53568090820552
2004-02-01,593550,548790,5008010,7601485,30701489,19356.6,11709.2,11267.1,21879.6,104864,3.066395957967825,4.686827451918149,44.44808335774068,34.74233989652461,16949654,40651.5,41.69502724376714
2004-03-01,576081,609667,6096350,9369855,37041518,22483.2,13593.8,13800.1,25653.9,123421,2.562273163962425,4.484890170518914,44.176129158484365,36.524095751523156,20389565,47889.99999999999,42.57583002714554
2004-04-01,610952,554308,6510049,8735475,35870988,21498.6,12575.9,14744.8,24408.4,118885,2.841822258193557,4.407700442910647,44.151490695024684,35.78880631258091,19460204,45657.299999999996,42.62232764530536
2004-05-01,573137,562188,6770324,8269659,35198463,21250.1,13049.7,15067.1,23337.9,118271,2.697102601870109,4.308053058691004,44.93448639751511,35.434460684123245,19023155,45566.19999999999,41.74839025417964
2004-06-01,573440,561971,7480414,8457752,37648629,23250.8,13850,16887.8,24142.1,127657,2.4663237393982147,4.057552346570397,44.29478084771255,35.033207550295955,20575052,49526.299999999996,41.54368890872123
2004-07-01,576738,524992,7807539,8805793,39021760,19776.5,12213.1,17562.1,23572,123224,2.9162794225469626,4.298597407701566,44.45675061638415,37.35700407262854,21306698,50100.29999999999,42.5280846621677
2004-08-01,523720,547974,7832025,8273037,38211815,22018.3,13278.7,18067.9,22823.2,127216,2.3785669193352805,4.126714211481546,43.3477327193531,36.248365698061626,21035059,51027.90000000001,41.222662504237874
2004-09-01,548615,600802,7985665,7828000,37830748,21688.1,13520.9,18386.9,21878,126022,2.529566905353627,4.443505979631534,43.43127443995453,35.78023585336868,20867666,50548.100000000006,41.28279005541257
2004-10-01,589146,599079,8034940,8832306,40296427,22410.9,14475.1,19718.2,24537.2,134816,2.62883686063478,4.138686433945188,40.74885131502875,35.995574067130725,22240956,53674.600000000006,41.43664973749222
2004-11-01,581246,599272,7771969,9104908,39795196,22875.5,13908.9,19679,25162,134719,2.540910581189482,4.308550640237546,39.49371919304843,36.185152213655506,21737801,53093.600000000006,40.942413021531785
