date,jcdmvnm,jcdmvum,jcdmtm,jcdffm,jcdfkm,jcdfgm,jcdfosm,jcdrgtm,jcdrsm,jcdrsvm,jcdrbm,jcdftim,jcdojm,jcdoom,jcdebm,jcdolm,jcdotm,jcnfobm,jcnfolm,jcnfefm,jcnlffm,jcnlmfm,jcnlfim,jcnlom,jcngm,jcnofm,jcnodm,jcnrm,jcnolm,jcnopm,jcnotm,jcnmom,jctgm,jcgxfem,jcdm
1996-01-01,96.012,110.338,73.984,144.085,130.698,144.356,103.807,958.51,148.167,85.769,102.788,98.576,93.903,81.189,32.535,167.768,1538,64.684,72.246,70.109,118.862,112.068,115.317,95.962,47.245,37.938,52.596,142.02,103.357,92.016,26.817,71.605,92.76,112.862,155.633
1996-02-01,96.161,111.411,73.852,142.877,131.263,147.298,103.652,946.105,149.053,86.621,102.981,100.661,91.651,81.381,32.665,168.18,1544.117,64.906,72.709,69.978,117.505,112.369,117.598,97.006,47.283,37.547,52.683,144.052,103.453,92.24,26.868,71.771,92.863,112.896,155.464
1996-03-01,96.213,112.604,73.799,142.512,131.768,147.626,103.664,936.245,149.554,86.896,102.279,100.163,92.465,81.4,32.833,172.605,1552.059,65.199,73.077,69.964,117.636,112.776,117.669,98.264,48.556,38.54,52.764,145.371,103.354,92.12,26.986,71.593,93.263,113.097,155.61
1996-04-01,96.35,111.061,73.789,142.981,131.375,148.191,103.913,921.852,148.424,86.789,102.487,100.181,91.382,81.397,32.975,175.899,1558.807,65.491,73.079,69.102,117.414,112.537,118.395,97.059,50.727,40.472,52.902,145.645,103.637,92.131,26.936,71.545,93.525,112.846,155.047
1996-05-01,96.474,111.038,73.684,142.624,130.344,145.042,104.441,908.004,148.257,86.75,102.294,100.493,91.292,81.416,33.015,165.195,1560.7,65.456,73.234,69.783,117.137,112.608,115.549,97.451,51.156,39.893,52.843,145.157,103.4,92.773,27.247,71.693,93.435,112.615,154.374
1996-06-01,96.745,110.331,73.88,142.652,130.76,145.885,104.4,900.206,147.833,86.327,102.626,100.962,90.669,81.477,33.037,168.283,1561.717,65.876,73.432,71.085,116.051,112.081,114.468,97.537,49.476,38.331,52.994,144.282,102.9,91.585,27.206,71.696,93.155,112.318,154.21
1996-07-01,96.884,110.407,73.331,142.285,131.427,147.855,104.958,892.488,146.459,85.42,102.974,100.634,90.741,81.641,33.107,181.457,1565.038,66.138,73.672,72.682,115.644,111.872,110.911,97.042,49.271,37.954,53.199,144.415,102.92,91.933,27.271,71.937,93.205,112.308,154.198
1996-08-01,96.992,111.247,73.42,142.649,131.852,146.891,105.608,886.504,146.035,86.23,103.962,100.36,89.063,81.667,33.443,175.693,1580.922,66.391,73.773,73.412,113.202,111.703,110.621,95.607,48.805,38.185,53.232,144.073,103.341,92.373,27.271,72.07,93.09,112.065,154.147
1996-09-01,97.316,111.832,73.513,143.518,131.686,146.063,105.348,872.578,146.215,86.177,103.468,100.297,90.051,81.546,33.547,167.459,1585.821,66.535,74.034,75.096,115.147,111.239,117.179,96.639,48.74,39.19,53.285,145.094,103.189,92.447,27.345,72.046,93.292,112.313,154.076
1996-10-01,97.431,112.494,73.521,142.778,131.713,146.263,105.522,868.267,145.226,85.212,103.877,101.263,90.389,81.685,33.667,169.621,1591.525,66.885,74.127,75.854,114.714,112.057,113.992,96.284,49.535,41.989,53.613,144.444,102.971,91.854,27.466,72.261,93.53,112.283,154.033
1996-11-01,97.625,111.906,73.479,142.135,131.8,144.688,106.017,857.576,147.371,84.579,103.699,101.289,89.831,81.671,33.795,167.871,1597.576,67.01,74.028,76.27,114.985,113.099,112.436,96.176,50.335,42.658,53.362,144.844,103.189,91.912,27.59,72.606,93.633,112.209,153.575
1996-12-01,97.549,112.3,73.488,142.06,132.282,141.538,106.565,840.683,146.806,85.553,103.916,101.159,88.266,81.532,33.924,155.726,1603.659,66.987,74.297,76.842,115.689,112.615,112.826,96.003,51.544,43.365,53.404,146.603,103.109,91.644,27.366,72.661,93.667,111.975,152.811
1997-01-01,97.558,112.119,73.509,141.471,132.074,145.373,106.877,826.814,147.679,85.491,103.977,99.948,88.57,81.852,34.035,166.121,1608.877,66.874,74.364,76.179,115.968,113.426,113.167,95.902,51.874,42.992,53.516,145.002,103.574,92.003,27.647,72.779,93.714,112.052,152.749
