date,imports_real,exports_real,exports_nominal,imports_nominal,trade_balance_real,trade_balance_nominal
2020-01-01,199013,131928,135312,201885.4,-67085,-66573.4
2020-02-01,195780,135914,136892.6,198128.6,-59866,-61236
2020-03-01,191490,127105,126312.4,190862.7,-64385,-64550.30000000002
2020-04-01,173468,100673,94435.7,168318.2,-72795,-73882.50000000001
2020-05-01,170723,96056,90066.6,166040.9,-74667,-75974.29999999999
2020-06-01,177272,107930,103456.3,174324.6,-69342,-70868.3
2020-07-01,196768,118662,115168.9,194876.1,-78106,-79707.20000000001
2020-08-01,200023,121192,118573.2,200956,-78831,-82382.8
2020-09-01,198007,125220,123325.6,200321.2,-72787,-76995.6
2020-10-01,204634,127043,125287.1,206545,-77591,-81257.9
2020-11-01,211776,128909,127998.6,213303.2,-82867,-85304.6
2020-12-01,212673,131919,133166.4,215915.2,-80754,-82748.80000000002
2021-01-01,213205,130550,134999.4,219282.9,-82655,-84283.5
2021-02-01,210126,125336,131662.1,218351,-84790,-86688.9
2021-03-01,218831,133883,143779.9,230164.5,-84948,-86384.6
2021-04-01,215552,132267,143464.2,228751.6,-83285,-85287.4
2021-05-01,215027,129932,144510.5,230775,-85095,-86264.5
2021-06-01,218254,129311,145396.9,236397,-88943,-91000.1
2021-07-01,215110,130119,147082.5,233642.2,-84991,-86559.70000000001
2021-08-01,217698,130447,148076.2,236969.9,-87251,-88893.69999999998
2021-09-01,217032,126324,143927.1,236557,-90708,-92629.9
2021-10-01,219538,136059,157443.2,241691.8,-83479,-84248.59999999998
2021-11-01,230106,134893,156995.2,255960.2,-95213,-98965
2021-12-01,233342,139685,160406.6,259972.4,-93657,-99565.79999999999
2022-01-01,230863,133414,157198.6,261133.8,-97449,-103935.19999999998
2022-02-01,229548,132939,160305.5,263790,-96609,-103484.5
2022-03-01,247002,135126,169534.7,288926.6,-111876,-119391.89999999997
2022-04-01,236679,139514,175868.9,279055,-97165,-103186.1
2022-05-01,235201,137465,178030.2,279341.6,-97736,-101311.39999999997
2022-06-01,235588,138037,180603.8,279308.3,-97551,-98704.5
2022-07-01,228998,143608,181786.8,269553.3,-85390,-87766.5
2022-08-01,230015,145757,180232.2,268103.3,-84258,-87871.09999999998
2022-09-01,230175,144831,177399.9,265814.6,-85344,-88414.69999999998
2022-10-01,235822,141214,173615.6,270299.1,-94608,-96683.49999999997
2022-11-01,222323,139237,170626.4,254661.9,-83086,-84035.5
2022-12-01,226321,140726,167445.5,259745.5,-85595,-92300
2023-01-01,230593,144760,173978,264144,-85833,-90166
2023-02-01,227250,138984,167692,258962,-88266,-91270
2023-03-01,224390,143297,172177,253489,-81093,-81312
2023-04-01,229982,137207,164899,259147,-92775,-94248
2023-05-01,225334,139112,163375,253231,-86222,-89856
2023-06-01,224763,138824,162453,251577,-85939,-89124
2023-07-01,227030,140827,165451,254491,-86203,-89040
2023-08-01,224833,141508,169710,253943,-83325,-84233
2023-09-01,226701,142705,172582,256710,-83996,-84128
2023-10-01,229201,144010,172076,259092,-85191,-87016
2023-11-01,224932,139815,165844,254531,-85117,-88687
2023-12-01,228362,144885,170243,257480,-83477,-87237
2024-01-01,230216,143279,168889,260110.7,-86937,-91221.70000000001
2024-02-01,234159,146557,174092,265047.2,-87602,-90955.20000000001
2024-03-01,231516,142954,170245.2,262308.1,-88562,-92062.89999999997
2024-04-01,235938,143167,171940.8,269267.2,-92771,-97326.40000000002
2024-05-01,235532,141770,168843.1,268298,-93762,-99454.9
2024-06-01,237768,144950,172019.9,270832.5,-92818,-98812.6
2024-07-01,242101,144311,172850.6,276766,-97790,-103915.4
2024-08-01,238665,148682,176715.2,272777.3,-89983,-96062.09999999998
2024-09-01,245806,147494,173939.2,281009.3,-98312,-107070.09999999998
2024-10-01,234987,141723,169260.3,268698.7,-93264,-99438.40000000002
2024-11-01,244755,146085,174259.6,280404.4,-98670,-106144.80000000002
2024-12-01,253703,141529,168635.5,290890.3,-112174,-122254.79999999999
2025-01-01,285683,142894,172314.7,327020,-142789,-154705.3
2025-02-01,282954,146672,177772.3,325242.5,-136282,-147470.2
2025-03-01,300358,150810,182319.5,343816.2,-149548,-161496.7
2025-04-01,240461,156382,189760.9,275205,-84079,-85444.1
2025-05-01,241089,147845,179048.1,274804.7,-93244,-95756.6
2025-06-01,230650,146065,178025.7,262149.7,-84585,-84124
2025-07-01,245921,146694,179172.7,280405.2,-99227,-101232.5
2025-08-01,229128,145417,177679.2,261944.9,-83711,-84265.69999999998
2025-09-01,231589,152930,187724.2,264472.2,-78659,-76748
2025-10-01,221136,157770,195732,253683.4,-63366,-57951.399999999994
2025-11-01,233624,149093,185614.9,268398.7,-84531,-82783.80000000002
2025-12-01,242150,144231,180019.1,278552.2,-97919,-98533.1
2026-01-01,238920,154973,194795.1,275595.3,-83947,-80800.19999999998
