"Date","Imported core goods index","Imported core goods trend","Imported core goods trend lower","Imported core goods trend upper","Imported durables index","Imported durables trend","Imported durables trend lower","Imported durables trend upper"
"2023-01",100.664498551111,,,,103.482559285209,,,
"2023-02",100.8844824557,,,,103.602472440136,,,
"2023-03",101.05669356443,,,,103.508353904217,,,
"2023-04",101.041333104249,,,,103.315890094749,,,
"2023-05",101.151210164869,,,,103.160060584097,,,
"2023-06",100.97870613051,,,,102.787914530414,,,
"2023-07",100.691875266513,,,,102.23537117278,,,
"2023-08",100.753723847165,,,,102.082102860556,,,
"2023-09",100.560195800309,,,,101.865103072251,,,
"2023-10",100.654666067091,,,,101.698646813725,,,
"2023-11",100.21962743666,,,,101.178481674953,,,
"2023-12",100.054508388833,,,,100.95312061945,,,
"2024-01",99.9947845750009,,,,101.104423346189,,,
"2024-02",100.116612515367,,,,100.99850365567,,,
"2024-03",100.239245912467,,,,101.036524004073,,,
"2024-04",100.375102112596,,,,100.896749679973,,,
"2024-05",100.254963284822,,,,100.23682797714,,,
"2024-06",100.182942545871,,,,100.140077230208,,,
"2024-07",100.114490267284,,,,100.005585351236,,,
"2024-08",100.072124408771,,,,99.9637505068516,,,
"2024-09",100.231677885344,,,,100.166671248842,,,
"2024-10",100.13873664857,,,,100.252766531915,,,
"2024-11",100.141795277726,,,,100.260427345327,,,
"2024-12",100,100,100,100,100,100,100,100
"2025-01",100.056715980474,99.947953510938,99.9023655999833,99.9935622247797,99.8638372860923,99.7388553069335,99.6445682250357,99.8332316064773
"2025-02",100.28639864544,99.8887890854133,99.789292585378,99.9883847900151,99.8967961988371,99.5984561794377,99.3867164589722,99.8106470035398
"2025-03",100.137006479003,99.8060016401001,99.6574928584735,99.9547317282997,100.148988163975,99.4874124492585,99.1869960838973,99.7887387120472
"2025-04",100.535410892676,99.6788526327125,99.4840609813642,99.8740256897559,100.847697427982,99.3389006368968,98.9660254910303,99.7131806676591
"2025-05",100.595037425796,99.6010385770151,99.3591078037174,99.8435584306736,100.778708859175,99.232530532322,98.7832935403025,99.6838105203559
"2025-06",100.896353420646,99.5212313532757,99.2287196469349,99.8146053412085,100.924899600966,99.1407172350642,98.603382828335,99.6809798198779
"2025-07",100.878953866204,99.4337270334523,99.0856766853633,99.78299995022,100.898140214797,98.9796921989251,98.3536837855069,99.6096850745271
"2025-08",100.864435649337,99.3522107026889,98.9488558201111,99.7572098201591,100.995752496944,98.8200939355163,98.108426221614,99.5369240086013
"2025-09",101.13102921674,99.2146257793575,98.7541175790675,99.6772814121569,101.00750607098,98.6653746094964,97.8574200543949,99.4799999981713
"2025-10",101.075307293152,99.0757899567138,98.5563595703424,99.5979579434538,101.010014293053,98.5301484141807,97.613264153913,99.4556449952637
"2025-11",101.016842080001,98.9483559684822,98.3732873534976,99.5267863081874,101.022998060205,98.4263479270924,97.3986479158206,99.4648916958061
"2025-12",101.317804021732,98.8130974234827,98.1798393869983,99.4504399618696,101.364715667475,98.2912442208634,97.159478014382,99.4361938529077
"2026-01",101.534751562917,98.7111065722932,98.0290860420898,99.3978721432024,101.515989303994,98.1594422325821,96.9312610317111,99.4031852764139

# Figure 6. Imported PCE Core Goods & Durables Prices
# Import-content-weighted index (Dec 2024 = 100) versus local projection with 90% CIs
# Source: BEA PCE components via Haver Analytics; BEA I-O Tables; and The Budget Lab analysis 
