"Date","Manufacturing employment index","Trend"
"Jan 2023",101.975907993689,102.221441072174
"Feb",101.890646715014,102.141689170622
"Mar",101.860071986868,102.069655195026
"Apr",101.820535800949,101.989903293474
"May",101.700845049265,101.912724033908
"Jun",101.78553588737,101.832972132355
"Jul",101.71065428921,101.755792872789
"Aug",101.75453442914,101.676040971236
"Sep",101.802333195414,101.596289069684
"Oct",101.403830662819,101.519109810117
"Nov",101.648564918326,101.439357908565
"Dec",101.744655325218,101.362178648999
"Jan 2024",101.718206633141,101.282426747446
"Feb",101.524599455771,101.202674845894
"Mar",101.356168963816,101.128068228313
"Apr",101.349715168125,101.048316326761
"May",101.268780101682,100.971137067194
"Jun",101.101929354924,100.891385165642
"Jul",101.019454185154,100.814205906075
"Aug",100.646656309727,100.734454004523
"Sep",100.539173355552,100.654702102971
"Oct",99.9313285803689,100.577522843404
"Nov",100.186281679762,100.497770941852
"Dec",100,100.420591682285
"Jan 2025",99.8146492880884,100.340839780733
"Feb",99.8179046115021,100.26108787918
"Mar",99.7644666402592,100.189053903585
"Apr",99.7362896741851,100.109302002033
"May",99.629339633489,100.032122742466
"Jun",99.5199744471928,99.9523708409137
"Jul",99.4339691892635,99.875191581347
"Aug",99.3082596052685,99.7954396797947
"Sep",99.2938469319734,99.7156877782425
"Oct",99.2278590387136,99.6385085186758
"Nov",99.1712739693549,99.5587566171235
"Dec",99.0906911856667,99.4815773575569
"Jan 2026",99.1451576482527,99.4018254560046
"Feb",99.0825044206099,99.3220735544524

# Figure 10. Manufacturing Tariff-Exposed Employment Index
# Leontief-adjusted total import content weighting; index (Dec 2024 = 100)
# Source: BLS via Haver; USITC DataWeb; BEA I-O Tables (including Total Requirements); and The Budget Lab analysis 
