"Date","Industrial production index","Trend"
"Jan 2021",102.094240837696,103.740962092336
"Feb",98.0104712041885,103.658334388962
"Mar",101.047120418848,103.583702914946
"Apr",101.151832460733,103.501075211572
"May",102.198952879581,103.421112917984
"Jun",102.198952879581,103.33848521461
"Jul",103.141361256544,103.258522921023
"Aug",102.61780104712,103.175895217648
"Sep",101.361256544503,103.093267514274
"Oct",102.82722513089,103.013305220687
"Nov",103.350785340314,102.930677517312
"Dec",103.246073298429,102.850715223725
"Jan 2022",102.303664921466,102.768087520351
"Feb",102.931937172775,102.685459816977
"Mar",103.350785340314,102.610828342961
"Apr",103.350785340314,102.528200639587
"May",102.82722513089,102.448238345999
"Jun",102.303664921466,102.365610642625
"Jul",102.303664921466,102.285648349037
"Aug",102.303664921466,102.203020645663
"Sep",102.303664921466,102.120392942289
"Oct",102.513089005236,102.040430648702
"Nov",101.780104712042,101.957802945327
"Dec",100,101.87784065174
"Jan 2023",101.675392670157,101.795212948366
"Feb",101.780104712042,101.712585244992
"Mar",101.047120418848,101.637953770976
"Apr",101.884816753927,101.555326067602
"May",101.675392670157,101.475363774014
"Jun",101.047120418848,101.39273607064
"Jul",101.361256544503,101.312773777052
"Aug",101.256544502618,101.230146073678
"Sep",101.361256544503,101.147518370304
"Oct",100.837696335079,101.067556076716
"Nov",101.256544502618,100.984928373342
"Dec",101.256544502618,100.904966079755
"Jan 2024",99.6858638743455,100.822338376381
"Feb",101.047120418848,100.739710673006
"Mar",101.151832460733,100.662413789205
"Apr",100.523560209424,100.579786085831
"May",101.151832460733,100.499823792243
"Jun",100.942408376963,100.417196088869
"Jul",100.104712041885,100.337233795281
"Aug",100.628272251309,100.254606091907
"Sep",100.104712041885,100.171978388533
"Oct",99.3717277486911,100.092016094945
"Nov",99.5811518324607,100.009388391571
"Dec",100,99.9294260979833
"Jan 2025",99.5811518324607,99.8467983946093
"Feb",100.942408376963,99.7641706912352
"Mar",101.361256544503,99.6895392172199
"Apr",101.256544502618,99.6069115138458
"May",101.047120418848,99.526949220258
"Jun",101.465968586387,99.4443215168839
"Jul",101.884816753927,99.3643592232961
"Aug",101.884816753927,99.2817315199221
"Sep",101.884816753927,99.199103816548
"Oct",101.151832460733,99.1191415229602
"Nov",101.465968586387,99.0365138195861
"Dec",101.151832460733,98.9565515259983
"Jan 2026",101.989528795812,98.8739238226242
"Feb",102.198952879581,98.7912961192502

# Figure 11. Manufacturing Industrial Production
# Index (Dec 2024 = 100); simple linear trend fit to 2023-2024
# Source: Federal Reserve via Haver Analytics 
