# Figure 14. Real US Imports and Exports
# Billions of 2025 USD, simple linear trend (2023-2024)
# Source: Census Bureau via Haver Analytics
"Date","Real imports (millions 2025 USD)","Imports trend (millions 2025 USD)","Real exports (millions 2025 USD)","Exports trend (millions 2025 USD)","Imports deviation from trend (%)","Exports deviation from trend (%)"
2023-01-01,264392.880446428,254891.412902916,172485.320888299,167244.314155697,3.72765305637448,3.13374284743808
2023-02-01,260559.869906938,255964.462459882,165603.06602887,167507.53804548,1.795330259089,-1.13694705255125
2023-03-01,257280.656582697,256933.668511335,170742.118177193,167745.288655605,0.13504966996849,1.78653573260148
2023-04-01,263692.321236249,258006.7180683,163485.724116612,168008.512545388,2.20366477683855,-2.69199956612536
2023-05-01,258363.026295314,259045.153123429,165755.581372016,168263.245341951,-0.263323524833436,-1.49032188511473
2023-06-01,257708.330208551,260118.202680394,165412.421849939,168526.469231733,-0.926452838367653,-1.84780906880111
2023-07-01,260307.622728151,261156.637735523,167799.048664938,168781.202028297,-0.325098000469659,-0.581909212374243
2023-08-01,257788.590674529,262229.687292488,168610.477951515,169044.425918079,-1.69359032679087,-0.256706462935241
2023-09-01,259930.398538054,263302.736849454,170036.734715147,169307.649807861,-1.28078361499447,0.430627268238148
2023-10-01,262796.843751552,264341.171904582,171591.676299557,169562.382604424,-0.584217790177566,1.19678295619783
2023-11-01,257902.101904983,265414.221461548,166593.224233196,169825.606494206,-2.83033799590618,-1.90335387444689
2023-12-01,261834.864737902,266452.656516676,172634.261653089,170080.33929077,-1.73306276587456,1.50159764083768
2024-01-01,263960.620508232,267525.706073642,170720.670707064,170343.563180552,-1.3326142065872,0.2213805555493
2024-02-01,268481.577898961,268598.755630608,174626.493322923,170606.787070334,-0.0436255675765218,2.35612329475023
2024-03-01,265451.172019251,269602.576183899,170333.424718609,170853.028773679,-1.53982362609769,-0.304123408756274
2024-04-01,270521.340312886,270675.625740864,170587.219781811,171116.252663461,-0.0570001187053859,-0.309165770880848
2024-05-01,270055.829610214,271714.060795993,168922.657794516,171370.985460024,-0.610285379019848,-1.42867105475087
2024-06-01,272619.578209166,272787.110352958,172711.71085078,171634.209349806,-0.0614149779935458,0.627789474519735
2024-07-01,277587.7010532,273825.545408087,171950.325661172,171888.94214637,1.37392427704532,0.0357111481608774
2024-08-01,273648.058751769,274898.594965052,177158.486324358,172152.166036152,-0.454908186577863,2.90807859318727
2024-09-01,281835.772859604,275971.644522018,175742.953295791,172415.389925934,2.12490248689936,1.92996887997425
2024-10-01,269430.944553671,277010.079577146,168866.656066954,172670.122722498,-2.73605026757321,-2.20273582688982
2024-11-01,280630.719291849,278083.129134112,174064.092995075,172933.34661228,0.916125392313316,0.65386254585742
2024-12-01,290890.3,279121.56418924,168635.5,173188.079408843,4.21634775691522,-2.62869097248655
2025-01-01,327557.867171062,280194.613746206,170261.93315151,173451.303298625,16.9036987512389,-1.83876977944909
2025-02-01,324428.855576008,281267.663303172,174763.51882653,173714.527188407,15.345237972242,0.603859478594515
2025-03-01,344383.900574294,282236.869354625,179694.053904147,173952.277798533,22.0194588190327,3.30077661429853
2025-04-01,275707.312993146,283309.918911591,186333.237435437,174215.501688315,-2.68349443875899,6.95560132691371
2025-05-01,276427.364030776,284348.353966719,176161.178963322,174470.234484879,-2.78566407205925,0.969187943969763
2025-06-01,264458.235397295,285421.403523685,174040.262472709,174733.458374661,-7.34463774180475,-0.396716180404255
2025-07-01,281967.629339424,286459.838578813,174789.732401133,174988.191171224,-1.56818116692211,-0.113412664456203
2025-08-01,262713.143551318,287532.888135779,173268.153548036,175251.415061007,-8.6319671969978,-1.13166647600537
2025-09-01,265534.872219485,288605.937692744,182220.08927499,175514.638950789,-7.99396771171819,3.82045074091
2025-10-01,253549.691492809,289644.372747873,187987.075687668,175769.371747352,-12.4617236346185,6.95098572570294
2025-11-01,267868.158623272,290717.422304838,177648.203558988,176032.595637134,-7.85961278151649,0.917789069692532
2025-12-01,277643.883379385,291755.857359967,171855.003571706,176287.328433698,-4.83691196751905,-2.51426174607806
2026-01-01,273940.436163546,292828.906916932,184654.377134722,176550.55232348,-6.45034363316631,4.5900874874601
