,Inputs,~~~,~~~,Price Changes,~~~,~~~,Implied Passthrough,~~~,~~~
"Category","Import share","Tariff increase","Expected effect","2025 Change","vs LP Trend","vs Log-Linear","2025 Change","vs LP Trend","vs Log-Linear"
"June 2025",,,,,,,,,
"Imported Core Goods","32.1%","8.4 pp","2.7%","-0.4%","1.4%","1.2%","-15%","51%","43%"
"Imported Durables","28.0%","8.9 pp","2.5%","-0.4%","1.8%","2.0%","-17%","72%","79%"
,,,,,,,,,
"January 2026",,,,,,,,,
"Imported Core Goods","32.1%","10.4 pp","3.3%","0.2%","2.9%","2.1%","6%","86%","64%"
"Imported Durables","28.0%","10.6 pp","3.0%","0.1%","3.4%","3.8%","5%","115%","128%"
