# Figure 13. Nominal Effective Exchange Rates (Daily)
# BIS broad NEER index (Dec 2024 average = 100), increase = appreciation
# Source: Haver Analytics (INTDAILY)
"Date","US Dollar","Mexico (MXN)","Canada (CAD)","China (CNY)"
2023-01-02,94.528261265588,100.706396565101,102.497706188195,99.3554366600666
2023-01-03,94.9472533660136,101.108542970765,102.028749107962,99.6242153599865
2023-01-04,94.5009356938211,101.850279674546,102.732184728311,99.6798247461769
2023-01-05,94.5646953612772,101.412386921711,103.119584055459,100.022749294351
2023-01-06,94.9654704138582,102.020074823604,102.19186461413,100.727134852762
2023-01-09,93.5900833015915,102.100504104737,103.710877765318,100.634452542444
2023-01-10,93.5718662537469,102.100504104737,103.34386787644,100.560306694191
2023-01-11,93.4443469188348,102.431157816061,103.170557651137,100.588111387286
2023-01-12,93.0344633423314,103.083528651916,103.13997349373,100.588111387286
2023-01-13,92.6974479572065,102.949479850028,102.976857987562,100.513965539032
2023-01-16,92.6427968136727,103.342689668899,102.997247425833,100.347137380461
2023-01-17,92.742990576818,103.512484817958,102.905494953614,99.6798247461769
2023-01-18,92.4241922395376,104.281031282116,103.017636864104,99.8466529047479
2023-01-19,92.9980292466423,102.609889551911,102.334590682027,99.5778742048279
2023-01-20,92.9069440074193,102.967353023613,102.548679783872,99.6798247461769
2023-01-23,92.6336882897504,103.52142140475,103.303088999898,99.475923663479
2023-01-24,92.7247735289734,103.342689668899,103.272504842492,99.5778742048279
2023-01-25,92.5699286222944,103.575040925505,103.190947089408,99.3925095841935
2023-01-26,92.5334945266052,103.235450627389,103.160362932001,99.309095504908
2023-01-27,92.5243860026829,103.789519008526,103.527372820879,99.3832413531617
2023-01-30,92.3786496199262,103.423118950032,103.415230910388,99.7261659013355
2023-01-31,92.7703161485849,103.41418236324,102.640432256091,100.032017525382
2023-02-01,92.3786496199262,103.298006734937,103.517178101743,99.874457597843
2023-02-02,91.8230296606661,104.379333736834,103.445815067795,99.6334835910182
2023-02-03,92.1782620936356,103.762709248149,103.02783158324,99.707629439272
2023-02-06,93.3168275839226,102.672445659459,103.180752370272,100.254455070144
2023-02-07,93.6174088733584,102.386474882098,103.23172596595,100.541770232127
