"Category","Import share","Tariff increase (pp)","Expected price change under 100% passthrough","Price change, 2025 change","Price change, vs LP trend","Price change, vs Log-Linear","Passthrough, via 2025 change","Passthrough, vs LP trend","vs Log-Linear"
"Imported Core Goods","32.1%","8.4 pp","2.7%","-0.4%","1.4%","1.2%","-15%","51%","43%"
"Imported Durables","28.0%","8.9 pp","2.5%","-0.4%","1.8%","2.0%","-17%","72%","79%"

# Table 1a. Implied Passthrough -- Imported PCE Core and Durable Goods Prices (June 2025)
# Passthrough calculation components, estimated price change, and estimated passthrough rates
# Source: Haver Analytics, USITC, BEA, and The Budget Lab analysis
# Note: LP (Local Projection): Price deviation from trend estimated using local projections with recession/pandemic controls (1996-2024 estimation period). Log-Linear: Price deviation from simple log-linear trend fit to 2023-2024 data. Simple: Raw price change with no trend adjustment. 
