"Date","Core goods index (December 2024 = 100)","Core goods trend (pre-2025)","Core goods trend, lower bound","Core goods trend, upper bound","Durable goods index (December 2024 = 100)","Durable goods trend (pre-2025)","Durable goods trend, lower bound","Durable goods trend, upper bound","Forecast indicator"
2023-01-01,100.693736917178,101.985846863578,100.926653532539,103.056156093869,103.849235112349,101.639737689728,99.5782917644976,103.743859174334,FALSE
2023-02-01,100.881759072301,101.896914496718,100.863648039463,102.94076593273,103.881661770877,101.550627214393,99.5394119763871,103.602479489059,FALSE
2023-03-01,101.090158012708,101.816655145389,100.807191901771,102.836226953891,103.75863121352,101.470207486061,99.5051180676292,103.474104721591,FALSE
2023-04-01,101.164255413741,101.727870314883,100.745221471194,102.720103719862,103.796780223553,101.381245642721,99.4681280730948,103.331159107737,FALSE
2023-05-01,101.470833410518,101.642023226952,100.685822989201,102.607304374681,103.950329988937,101.295227798974,99.4333845264223,103.19193320951,FALSE
2023-06-01,101.292073430524,101.553390676691,100.62508262659,102.490262752912,103.561210086598,101.206419365348,99.3986613407956,103.047054986352,FALSE
2023-07-01,100.842857936758,101.467690830306,100.566969553064,102.376479356893,102.872620455499,101.120549854553,99.3662974095682,102.905772575386,FALSE
2023-08-01,100.77061297075,101.379210299106,100.507670277,102.258307774371,102.497806431923,101.031894566095,99.3342539251652,102.758548197327,FALSE
2023-09-01,100.673360131893,101.290806923545,100.449205992522,102.139459101216,102.374775874566,100.943317004273,99.3037730589976,102.609930458246,FALSE
2023-10-01,100.833595761629,101.205328668848,100.39350282151,102.023719295657,102.245069240453,100.857670725079,99.2759200569641,102.464623226374,FALSE
2023-11-01,100.462182538947,101.117076919275,100.336945501883,101.903273949144,101.723381528249,100.769245910299,99.2490303141757,102.312746927462,FALSE
2023-12-01,100.203767852843,101.031745273516,100.283295738275,101.785780751088,101.281806737115,100.683747323314,99.2250593927815,102.163879135984,FALSE
2024-01-01,100.166719152326,100.94364488987,100.229120296865,101.663263265924,101.477320413535,100.595474992173,99.2026897631228,102.007814637528,FALSE
2024-02-01,100.481633106719,100.85562133037,100.176408783335,101.539439050317,101.730057605005,100.507280051917,99.1831130204164,101.849125680852,FALSE
2024-03-01,100.585369468166,100.773346200285,100.128626764769,101.422216927633,101.819707778583,100.424845110211,99.1677256449563,101.697900701252,FALSE
2024-04-01,100.640942518941,100.685471142426,100.079464231196,101.295147581457,101.599397245641,100.33679976607,99.1549540893449,101.532732073327,FALSE
2024-05-01,100.43439601356,100.600503724276,100.034133207671,101.170080901965,100.716247663373,100.251668091966,99.1469196814856,101.368726204597,FALSE
2024-06-01,100.486264194283,100.512779386256,99.9901364366999,101.038154161795,100.663792774577,100.163774577088,99.1441132333214,101.19392276896,FALSE
2024-07-01,100.425133838431,100.427957700877,99.9510368242952,100.907154226914,100.440621065883,100.078789707786,99.1481326012631,101.018182456899,FALSE
2024-08-01,100.295463386622,100.340383824188,99.91539178042,100.767183579802,100.297562278259,99.9910477603493,99.161522385105,100.82751244362,FALSE
2024-09-01,100.337143174703,100.252886312528,99.8865880626987,100.620527829862,100.508335558692,99.9033827387965,99.1882222313683,100.62369965028,FALSE
2024-10-01,100.397347313043,100.168283948201,99.8689600275271,100.468504992561,100.548392019227,99.8186188013274,99.2340340553855,100.406647318637,FALSE
2024-11-01,100.27601281885,100.080936508829,99.8714217171792,100.290890830097,100.488307328425,99.7311049531922,99.3217444151984,100.142152695242,FALSE
2024-12-01,100,100,100,100,100,100,100,100,FALSE
2025-01-01,100.399199748069,99.8945465432201,99.8441388920621,99.9449796433561,100.308053256018,99.7193810702378,99.6231008921826,99.8157542977223,TRUE
2025-02-01,100.813218976344,99.8193083672988,99.7091371919727,99.9296012735736,100.715293938122,99.4667956612234,99.2563067672234,99.6777309306322,TRUE
2025-03-01,100.548320767649,99.7317176127303,99.5632622755079,99.9004579667348,100.665700225079,99.3735711963936,99.0550673065206,99.693099210833,TRUE
2025-04-01,100.83730063168,99.6310736550519,99.4084981765129,99.854147479754,101.157822454507,99.285434218805,98.8634652092863,99.7092042763106,TRUE
2025-05-01,101.086453142656,99.5309714809973,99.2539753572108,99.8087406403455,101.178804410026,99.2153461697891,98.6893104101648,99.7441858158653,TRUE
2025-06-01,101.484726673212,99.5111917549963,99.1761764496438,99.8473387359068,101.657574485942,99.1840462933051,98.5566516192854,99.8154348537904,TRUE
2025-07-01,101.483800455699,99.4624875450576,99.0620435832351,99.8645502435906,101.533590203334,99.0832382237696,98.349961886493,99.8219817130053,TRUE
2025-08-01,101.36987570161,99.3057211965983,98.837115232691,99.7765489124143,101.451569831763,98.8791048640335,98.0261177905643,99.7395143159862,TRUE
2025-09-01,101.548635681603,99.2603230866551,98.7163540026402,99.8072896716145,101.386716514706,98.7903033054856,97.7969302623365,99.7937665426745,TRUE
2025-10-01,101.545857029065,99.1384201485865,98.5101049526906,99.7707428519922,101.46015335902,98.6870196811311,97.5322820458793,99.8554288821281,TRUE
2025-11-01,101.52548024378,99.0624003371718,98.3544487771547,99.7754477054372,101.495441193301,98.6286875102559,97.3140239594427,99.9611115048522,TRUE
2025-12-01,101.966359779931,98.9902886615394,98.2079537288096,99.7788557569784,102.051463014535,98.5564041562984,97.0971188295393,100.037621273522,TRUE
2026-01-01,102.271085341682,98.8925770983237,98.0444249674549,99.7480663321164,102.472055850151,98.4233148423425,96.8347968003171,100.037891591085,TRUE

# Figure 5. PCE Core Goods & Durables Prices
# Index (Dec 2024 = 100) versus local projection with 90% CIs
# Source: Bureau of Economic Analysis via Haver Analytics and The Budget Lab analysis 
