"Date","Revision","Weighted ETR","Weighted ETR (additional)","Matched imports ($B)","Total imports ($B)"
2025-01-01,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-02,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-03,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-04,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-05,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-06,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-07,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-08,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-09,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-10,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-11,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-12,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-13,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-14,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-15,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-16,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-17,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-18,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-19,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-20,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-21,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-22,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-23,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-24,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-25,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-26,"basic",0.0268293577524724,0.0239459863118815,371.342830179,3123.773412637
2025-01-27,"rev_1",0.0402968666850558,0.0373116868247765,439.870623878,3123.773412637
2025-01-28,"rev_1",0.0402968666850558,0.0373116868247765,439.870623878,3123.773412637
2025-01-29,"rev_1",0.0402968666850558,0.0373116868247765,439.870623878,3123.773412637
2025-01-30,"rev_1",0.0402968666850558,0.0373116868247765,439.870623878,3123.773412637
2025-01-31,"rev_1",0.0402968666850558,0.0373116868247765,439.870623878,3123.773412637
2025-02-01,"rev_2",0.0402968666850558,0.0373116868247765,439.870623878,3123.773412637
2025-02-02,"rev_2",0.0402968666850558,0.0373116868247765,439.870623878,3123.773412637
2025-02-03,"rev_2",0.0402968666850558,0.0373116868247765,439.870623878,3123.773412637
2025-02-04,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-05,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-06,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-07,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-08,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-09,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-10,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-11,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-12,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-13,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-14,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-15,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-16,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-17,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-18,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-19,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-20,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-21,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-22,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-23,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-24,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-25,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-26,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-27,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-02-28,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-03-01,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-03-02,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-03-03,"rev_3",0.0739167399419017,0.0704385740030144,1319.862068425,3123.773412637
2025-03-04,"rev_4",0.0754010648438525,0.071824301604002,1363.186002497,3123.773412637
2025-03-05,"rev_5",0.0754363165149676,0.071824301604002,1363.186002497,3123.773412637
2025-03-06,"rev_5",0.0754363165149676,0.071824301604002,1363.186002497,3123.773412637
2025-03-07,"rev_5",0.0754363165149676,0.071824301604002,1363.186002497,3123.773412637
2025-03-08,"rev_5",0.0754363165149676,0.071824301604002,1363.186002497,3123.773412637
