# Table 1b. Implied Passthrough -- Imported PCE Core and Durable Goods Prices
# Passthrough calculation components, estimated price change, and estimated passthrough rates
# Source: Haver Analytics, USITC, BEA, and The Budget Lab analysis
# Note: LP (Local Projection): Price deviation from trend estimated using local projections with recession/pandemic controls (1996-2024 estimation period). Log-Linear: Price deviation from simple log-linear trend fit to 2023-2024 data. Simple: Raw price change with no trend adjustment.
"Category","Import share","Tariff increase (pp)","Expected price change under 100% passthrough","Price change, 2025 change","Price change, vs LP trend","Price change, vs Log-Linear","Passthrough, via 2025 change","Passthrough, vs LP trend","Passthrough, vs Log-Linear"
"Imported Core Goods","32.1%","10.4 pp","3.3%","0.2%","2.9%","2.1%","6%","86%","64%"
"Imported Durables","28.0%","10.6 pp","3.0%","0.1%","3.4%","3.8%","5%","115%","128%"
