"Date","Core goods index","Core goods trend (log-linear)","Durable goods index","Durable goods trend (log-linear)"
"2023-01",100.693736917178,100.92968518895,103.849235112349,104.193354593693
"2023-02",100.881759072301,100.888331097064,103.881661770877,104.003980856891
"2023-03",101.090158012708,100.850993578064,103.75863121352,103.833229467584
"2023-04",101.164255413741,100.809671728626,103.796780223553,103.644510266199
"2023-05",101.470833410518,100.769698962589,103.950329988937,103.462205370336
"2023-06",101.292073430524,100.728410422132,103.561210086598,103.274160513491
"2023-07",100.842857936758,100.688469877599,102.872620455499,103.092507042126
"2023-08",100.77061297075,100.647214619273,102.497806431923,102.905134120206
"2023-09",100.673360131893,100.605976264535,102.374775874566,102.718101752734
"2023-10",100.833595761629,100.566084267248,102.245069240453,102.537426357625
"2023-11",100.462182538947,100.524879154187,101.723381528249,102.35106230718
"2023-12",100.203767852843,100.485019313297,101.281806737115,102.171032513924
"2024-01",100.166719152326,100.443847415118,101.477320413535,101.985334392431
"2024-02",100.481633106719,100.402692386371,101.730057605005,101.799973781399
"2024-03",100.585369468166,100.364207786661,101.819707778583,101.626876926622
"2024-04",100.640942518941,100.323085388794,101.599397245641,101.442167819998
"2024-05",100.43439601356,100.283305562597,100.716247663373,101.263736721302
"2024-06",100.486264194283,100.242216312937,100.663792774577,101.079687630069
"2024-07",100.425133838431,100.202468552718,100.440621065883,100.901894113752
"2024-08",100.295463386622,100.161412424543,100.297562278259,100.718502679497
"2024-09",100.337143174703,100.120373118366,100.508335558692,100.535444563248
"2024-10",100.397347313043,100.080673671066,100.548392019227,100.358608340041
"2024-11",100.27601281885,100.039667446116,100.488307328425,100.176204339749
"2024-12",100,100,100,100
"2025-01",100.399199748069,99.9590268296107,100.308053256018,99.8182477783339
"2025-02",100.813218976344,99.9180704472284,100.715293938122,99.6368258953686
"2025-03",100.548320767649,99.8810920096502,100.665700225079,99.4732444025496
"2025-04",100.83730063168,99.8401675596344,101.157822454507,99.2924495708846
"2025-05",101.086453142656,99.8005792186497,101.178804410026,99.1177997063379
"2025-06",101.484726673212,99.759687757277,101.657574485942,98.9376509033051
"2025-07",101.483800455699,99.7201313279161,101.533590203334,98.7636251097678
"2025-08",101.36987570161,99.6792728285947,101.451569831763,98.5841200269329
"2025-09",101.548635681603,99.6384310702958,101.386716514706,98.404941198574
"2025-10",101.545857029065,99.5989227212936,101.46015335902,98.2318524116085
"2025-11",101.52548024378,99.5581138849812,101.495441193301,98.0533138374666
"2025-12",101.966359779931,99.5186373831222,102.051463014535,97.8808435433599
"2026-01",102.271085341682,99.4778614422581,102.472055850151,97.7029429356343

# Figure A2. PCE Core Goods & Durables Prices (Log-Linear Trend)
# Index (Dec 2024 = 100); log-linear trend (2023-2024 estimation) with 90% CIs
# Source: Bureau of Economic Analysis via Haver Analytics and The Budget Lab analysis 
