"Date","Core Goods","Durable Goods"
"Dec 2024",0,0
"Jan 2025",0.440353345184574,0.490697330984813
"Feb",0.895882521659397,1.08239903576031
"Mar",0.668023090831293,1.19877041277943
"Apr",0.9987293655636,1.87866538864165
"May",1.28844334779772,2.07934872423914
"Jun",1.72919438173473,2.74912892898098
"Jul",1.76861893811928,2.80464097028412
"Aug",1.69604254228677,2.9086325506041
"Sep",1.91713638080069,3.03010730946474
"Oct",1.95477446399612,3.28640951804993
"Nov",1.97609846352873,3.51046509406108
"Dec",2.45956180789071,4.26091492491825
"Jan 2026",2.80788494940138,4.88123773063647

# Figure A3. PCE Goods Prices: Deviation from Log-Linear Trend
# Percent difference from trend (log-linear; 2023-2024 estimation)
# Source: Bureau of Economic Analysis via Haver Analytics and The Budget Lab analysis 
