"Date","Industrial production index","Trend"
"2021-01",102.094240837696,103.740962092336
"2021-02",98.0104712041885,103.658334388962
"2021-03",101.047120418848,103.583702914946
"2021-04",101.151832460733,103.501075211572
"2021-05",102.198952879581,103.421112917984
"2021-06",102.198952879581,103.33848521461
"2021-07",103.141361256544,103.258522921023
"2021-08",102.61780104712,103.175895217648
"2021-09",101.361256544503,103.093267514274
"2021-10",102.82722513089,103.013305220687
"2021-11",103.350785340314,102.930677517312
"2021-12",103.246073298429,102.850715223725
"2022-01",102.303664921466,102.768087520351
"2022-02",102.931937172775,102.685459816977
"2022-03",103.350785340314,102.610828342961
"2022-04",103.350785340314,102.528200639587
"2022-05",102.82722513089,102.448238345999
"2022-06",102.303664921466,102.365610642625
"2022-07",102.303664921466,102.285648349037
"2022-08",102.303664921466,102.203020645663
"2022-09",102.303664921466,102.120392942289
"2022-10",102.513089005236,102.040430648702
"2022-11",101.780104712042,101.957802945327
"2022-12",100,101.87784065174
"2023-01",101.675392670157,101.795212948366
"2023-02",101.780104712042,101.712585244992
"2023-03",101.047120418848,101.637953770976
"2023-04",101.884816753927,101.555326067602
"2023-05",101.675392670157,101.475363774014
"2023-06",101.047120418848,101.39273607064
"2023-07",101.361256544503,101.312773777052
"2023-08",101.256544502618,101.230146073678
"2023-09",101.361256544503,101.147518370304
"2023-10",100.837696335079,101.067556076716
"2023-11",101.256544502618,100.984928373342
"2023-12",101.256544502618,100.904966079755
"2024-01",99.6858638743455,100.822338376381
"2024-02",101.047120418848,100.739710673006
"2024-03",101.151832460733,100.662413789205
"2024-04",100.523560209424,100.579786085831
"2024-05",101.151832460733,100.499823792243
"2024-06",100.942408376963,100.417196088869
"2024-07",100.104712041885,100.337233795281
"2024-08",100.628272251309,100.254606091907
"2024-09",100.104712041885,100.171978388533
"2024-10",99.3717277486911,100.092016094945
"2024-11",99.5811518324607,100.009388391571
"2024-12",100,99.9294260979833
"2025-01",99.5811518324607,99.8467983946093
"2025-02",100.942408376963,99.7641706912352
"2025-03",101.361256544503,99.6895392172199
"2025-04",101.256544502618,99.6069115138458
"2025-05",101.047120418848,99.526949220258
"2025-06",101.465968586387,99.4443215168839
"2025-07",101.884816753927,99.3643592232961
"2025-08",101.884816753927,99.2817315199221
"2025-09",101.884816753927,99.199103816548
"2025-10",101.151832460733,99.1191415229602
"2025-11",101.465968586387,99.0365138195861
"2025-12",101.151832460733,98.9565515259983
"2026-01",101.989528795812,98.8739238226242
"2026-02",102.198952879581,98.7912961192502

# Figure 11. Manufacturing Industrial Production
# Index (Dec 2024 = 100); simple linear trend fit to 2023-2024
# Source: Federal Reserve via Haver Analytics 
