"Date","Real imports","Imports trend","Real exports","Exports trend"
"2023-01",264.392880446428,254.891412902916,172.485320888299,167.244314155697
"2023-02",260.559869906938,255.964462459882,165.60306602887,167.50753804548
"2023-03",257.280656582697,256.933668511335,170.742118177193,167.745288655605
"2023-04",263.692321236249,258.0067180683,163.485724116612,168.008512545388
"2023-05",258.363026295314,259.045153123429,165.755581372016,168.263245341951
"2023-06",257.708330208551,260.118202680394,165.412421849939,168.526469231733
"2023-07",260.307622728151,261.156637735523,167.799048664938,168.781202028297
"2023-08",257.788590674529,262.229687292488,168.610477951515,169.044425918079
"2023-09",259.930398538054,263.302736849454,170.036734715147,169.307649807861
"2023-10",262.796843751552,264.341171904582,171.591676299557,169.562382604424
"2023-11",257.902101904983,265.414221461548,166.593224233196,169.825606494206
"2023-12",261.834864737902,266.452656516676,172.634261653089,170.08033929077
"2024-01",263.960620508232,267.525706073642,170.720670707064,170.343563180552
"2024-02",268.481577898961,268.598755630608,174.626493322923,170.606787070334
"2024-03",265.451172019251,269.602576183899,170.333424718609,170.853028773679
"2024-04",270.521340312886,270.675625740864,170.587219781811,171.116252663461
"2024-05",270.055829610213,271.714060795993,168.922657794516,171.370985460024
"2024-06",272.619578209166,272.787110352958,172.71171085078,171.634209349806
"2024-07",277.5877010532,273.825545408086,171.950325661172,171.88894214637
"2024-08",273.648058751769,274.898594965052,177.158486324358,172.152166036152
"2024-09",281.835772859604,275.971644522018,175.742953295791,172.415389925934
"2024-10",269.430944553671,277.010079577146,168.866656066954,172.670122722498
"2024-11",280.630719291849,278.083129134112,174.064092995075,172.93334661228
"2024-12",290.8903,279.12156418924,168.6355,173.188079408843
"2025-01",327.557867171062,280.194613746206,170.26193315151,173.451303298625
"2025-02",324.428855576008,281.267663303172,174.76351882653,173.714527188407
"2025-03",344.383900574294,282.236869354625,179.694053904147,173.952277798533
"2025-04",275.707312993146,283.309918911591,186.333237435437,174.215501688315
"2025-05",276.427364030776,284.348353966719,176.161178963322,174.470234484879
"2025-06",264.458235397295,285.421403523685,174.040262472709,174.733458374661
"2025-07",281.967629339424,286.459838578813,174.789732401133,174.988191171224
"2025-08",262.713143551318,287.532888135779,173.268153548036,175.251415061007
"2025-09",265.534872219485,288.605937692744,182.22008927499,175.514638950789
"2025-10",253.549691492809,289.644372747873,187.987075687668,175.769371747352
"2025-11",267.868158623272,290.717422304838,177.648203558988,176.032595637134
"2025-12",277.643883379385,291.755857359967,171.855003571706,176.287328433698
"2026-01",273.940436163546,292.828906916932,184.654377134722,176.55055232348

# Figure 13. Real US Imports and Exports
# Billions of 2025 USD; simple linear trend (2023-2024)
# Source: Census Bureau via Haver Analytics 
