,"~~~Inputs~~~",,,"~~~Price Changes~~~",,,"~~~Implied Passthrough~~~",,
"Category","Import share","Tariff increase","Expected effect","2025 Change","vs LP Trend","vs Log-Linear","2025 Change","vs LP Trend","vs Log-Linear"
"June 2025",,,,,,,,,
"Core Goods","32.1%","7.4 pp","2.4%","1.5%","2.0%","1.7%","63%","84%","73%"
"Durables","28.0%","7.4 pp","2.1%","1.7%","2.5%","2.7%","80%","121%","133%"
,,,,,,,,,
"January 2026",,,,,,,,,
"Core Goods","32.1%","8.0 pp","2.6%","2.3%","3.4%","2.8%","89%","133%","110%"
"Durables","28.0%","8.0 pp","2.2%","2.5%","4.1%","4.9%","110%","184%","218%"
