"Date","Core Goods","Durable Goods"
"Dec 2024",0,0
"Jan 2025",0.505185940886621,0.590328760028691
"Feb",0.995709773291975,1.25519100982316
"Mar",0.818799850705254,1.30027432156175
"Apr",1.21069354406913,1.88586397434285
"May",1.56281169420285,1.97898643308299
"Jun",1.98322910560114,2.49387707507138
"Jul",2.03223643459121,2.47302371570732
"Aug",2.07858568483177,2.6016264723135
"Sep",2.3053648464862,2.62820653682181
"Oct",2.42835913349233,2.81002880302754
"Nov",2.48639231254766,2.90661242221946
"Dec",3.00642735629033,3.54625241064355
"Jan 2026",3.41634159255337,4.11359952089974

# Figure 5. PCE Goods Prices: Deviation from Trend
# Percent difference from trend (local projection)
# Source: Bureau of Economic Analysis via Haver Analytics and The Budget Lab analysis 
