"Date","Core goods index","Core goods trend (log-linear)","Core goods trend lower (log-linear)","Core goods trend upper (log-linear)","Durable goods index","Durable goods trend (log-linear)","Durable goods trend lower (log-linear)","Durable goods trend upper (log-linear)"
"2023-01",100.693736917178,,,,103.849235112349,,,
"2023-02",100.881759072301,,,,103.881661770877,,,
"2023-03",101.090158012708,,,,103.75863121352,,,
"2023-04",101.164255413741,,,,103.796780223553,,,
"2023-05",101.470833410518,,,,103.950329988937,,,
"2023-06",101.292073430524,,,,103.561210086598,,,
"2023-07",100.842857936758,,,,102.872620455499,,,
"2023-08",100.77061297075,,,,102.497806431923,,,
"2023-09",100.673360131893,,,,102.374775874566,,,
"2023-10",100.833595761629,,,,102.245069240453,,,
"2023-11",100.462182538947,,,,101.723381528249,,,
"2023-12",100.203767852843,,,,101.281806737115,,,
"2024-01",100.166719152326,,,,101.477320413535,,,
"2024-02",100.481633106719,,,,101.730057605005,,,
"2024-03",100.585369468166,,,,101.819707778583,,,
"2024-04",100.640942518941,,,,101.599397245641,,,
"2024-05",100.43439601356,,,,100.716247663373,,,
"2024-06",100.486264194283,,,,100.663792774577,,,
"2024-07",100.425133838431,,,,100.440621065883,,,
"2024-08",100.295463386622,,,,100.297562278259,,,
"2024-09",100.337143174703,,,,100.508335558692,,,
"2024-10",100.397347313043,,,,100.548392019227,,,
"2024-11",100.27601281885,,,,100.488307328425,,,
"2024-12",100,100,100,100,100,100,100,100
"2025-01",100.399199748069,99.9590268296107,99.944606972255,99.9734487674418,100.308053256018,99.8182477783339,99.797044663693,99.8394553978384
"2025-02",100.813218976344,99.9180704472284,99.8892446283852,99.946904584563,100.715293938122,99.6368258953686,99.5945012360713,99.6791685413697
"2025-03",100.548320767649,99.8810920096502,99.8392662900037,99.9229352513688,100.665700225079,99.4732444025496,99.4119121342112,99.5346145098859
"2025-04",100.83730063168,99.8401675596344,99.7839622975272,99.8964044804512,101.157822454507,99.2924495708846,99.21015035361,99.374817059008
"2025-05",101.086453142656,99.8005792186497,99.7304714731594,99.8707362479337,101.178804410026,99.1177997063379,99.0152869115566,99.220418634964
"2025-06",101.484726673212,99.759687757277,99.6752277454261,99.8442193364949,101.657574485942,98.9376509033051,98.8143301030099,99.0611256086035
"2025-07",101.483800455699,99.7201313279161,99.6217952099926,99.8185645128726,101.533590203334,98.7636251097678,98.6202441106044,98.9072145662425
"2025-08",101.36987570161,99.6792728285947,99.5666116813319,99.7920614536725,101.451569831763,98.5841200269329,98.420089062503,98.748424372108
"2025-09",101.548635681603,99.6384310702958,99.5114587204985,99.7655654313613,101.386716514706,98.404941198574,98.2203402397525,98.589889107059
"2025-10",101.545857029065,99.5989227212936,99.4581139761283,99.7399308177428,101.46015335902,98.2318524116085,98.0274209314906,98.4367102237635
"2025-11",101.52548024378,99.5581138849812,99.4030211154588,99.713448636758,101.495441193301,98.0533138374666,97.828469049666,98.2786753989538
"2025-12",101.966359779931,99.5186373831222,99.3497345008397,99.6878274144724,102.051463014535,97.8808435433599,97.6363194345118,98.1259800476787
"2026-01",102.271085341682,99.4778614422581,99.2947016748431,99.6613590675834,102.472055850151,97.7029429356343,97.4381613140457,97.968444083394

# Figure A2. PCE Core Goods & Durables Prices (Log-Linear Trend)
# Index (Dec 2024 = 100); log-linear trend (2023-2024 estimation) with 90% CIs
# Source: Bureau of Economic Analysis via Haver Analytics and The Budget Lab analysis 
